compiled_by,allometry_ID_manual,group,subgroup,Family,taxonID,acceptedTaxonID,Common name,genus,specificEpithet,FIA Species Code,Taxon ID Notes,minDiameter,maxDiameter,dbh range (cm),Initials and References Used and Other Notes,Excluding Factor,need_density,spg_gcm3,Zanne et al Reference Number,density_source,decid_vs_ever,decid_vs_ever_source,woodland_vs_forest,woodland_vs_forest_source
SMS,H7,,,Euphorbiaceae,CRDI8,CRDI8,,Croton,discolor,,,,,,,,,0.565,,Zanne et al 2009; average of 2 Mexican and Central American species,,,,
SMS,H7,,,Euphorbiaceae,CRFL23,CRFL23,,Croton,flavens,,,,,,,,,0.565,,Zanne et al 2009; average of 2 Mexican and Central American species,,,,
SMS,H7,,,Euphorbiaceae,CRLU2,CRLU2,,Croton,lucidus,,,,,,,,,0.565,,Zanne et al 2009; average of 2 Mexican and Central American species,,,,
SMS,H7,,,Euphorbiaceae,CROTO,CROTO,,Croton,sp.,,,,,,,,,0.565,,Zanne et al 2009; average of 2 Mexican and Central American species,,,,
SMS,H7,,,Euphorbiaceae,CROTOSPP,CROTOSPP,,Croton,spp.,,,,,,,,,0.565,,Zanne et al 2009; average of 2 Mexican and Central American species,,,,
WG_75,W1,woodland,Cupressaceae,Cupressaceae,CUPRE,,"Cypress, pygmy",Cupressus,sp.,50,,4,12,4 – 12,,,,0.41,,,,,woodland,WG_75
SMS,,,,Rosaceae,DAFRF,DAFRF,,Dasiphora,fruticosa,,,,,,,,,,,,,,woodland,http://usnvc.org/explore-classification/
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ebenaceae,DIVI5,,Common persimmon,Diospyros,virginiana,,,,,,AQ,,,0.67,170,Zanne et al 2009,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Elaeagnaceae,ELAN,,Russian olive,Elaeagnus,angustifolia,,,,,,AQ,"Introduced not sure if this should be removed, RAC",,0.464,33,"Zanne et al 2009; 3 spg values, the median value was assigned.",,,,
SMS,H7,,,Erythroxylaceae,ERAR17,ERAR17,,Erythroxylum,areolatum,,,,,,,,,0.99,6180,Zanne et al 2009; used value for Erythroxylum havanense which is only Mexican or Central American species,,,,
SMS,H7,,,Erythroxylaceae,ERBR11,ERBR11,,Erythroxylum,brevipes,,,,,,,,,0.99,6180,Zanne et al 2009; used value for Erythroxylum havanense which is only Mexican or Central American species,,,,
SMS,H7,,,Erythroxylaceae,ERRO3,ERRO3,,Erythroxylum,rotundifolium,,,,,,,,,0.99,6180,Zanne et al 2009; used value for Erythroxylum havanense which is only Mexican or Central American species,,,,
SMS,H7,,,Myrtaceae,EULI,EULI,,Eugenia,ligustrina,,,,,,,,,0.981,6794,Zanne et al 2009,,,,
WG_75,,,,Myrtaceae,EURH,,,Eugenia,rhombea,,,,,,SR - SPG not known,Tropical,,,,,,,,
SMS,H7,,,Myrtaceae,EUXE,EUXE,,Eugenia,xerophytica,,,,,,,,,0.815,,Zanne et al 2009; average of 2 Mexican and North American species,,,,
WG_75,,,,Rubiaceae,EXCA,,Caribbean princewood,Exostema,caribaeum,,,,,,AQ,Tropical,,0.99,23,"Zanne et al 2009; 2 spg values, assigned value from Mexico",,,,
WG_75,H10,hardwood,"Fagaceae, deciduous",Fagaceae,FAGR,,Beech,Fagus,grandifolia,531,,3,66,3 – 66,,,,0.56,,,decid,WG_75,forest,WG_75
SMS,,,,Oleaceae,FOAC,FOAC,,Forestiera,acuminata,,,,,,genus not in Zanne et al 2009,,yes,,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rhamnaceae,FRPU7,,Cascara buckthorn,Frangula,purshiana,,,,,,BS,,,0.501,118,Zanne et al 2009; Listed under synonym Rhamnus purshiana there.,,,,
WG_75,H16,hardwood,Oleaceae >= 0.55 spg,Oleaceae,FRAM2,,"Ash, white",Fraxinus,americana,541,,3,55,3 – 55,,,,0.55,,,,,,
SMS,,,,Oleaceae,FRAM2/FRPE,FRAM2/FRPE,,Fraxinus,americana/pennsylvanica,,,3,55,3 – 55,,,yes,0.55,,Zanne et al 2009,,,,
WG_75,H15,hardwood,Oleaceae < 0.55 spg,Oleaceae,FRNI,,"Ash, black",Fraxinus,nigra,543,,3,43,3 – 43,,,,0.45,,,,,,
WG_75,H15,hardwood,Oleaceae < 0.55 spg,Oleaceae,FRPE,,"Ash, green",Fraxinus,pennsylvanica,544,,3,42,3 – 42,,,,0.53,,,,,,
WG_75,H15,hardwood,Oleaceae < 0.55 spg,Oleaceae,FRAXI,,Ash,Fraxinus,sp.,540,,4,32,4 – 32,,,,0.51,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Sterculiaceae,FRCA6,,California flannelbush,Fremontodendron,californicum,,,,,,"kj assigned, spg not known",,,,,,,,,
SMS,H9,,,Fabaceae,GAST2,GAST2,,Galactia,striata,,,,,,,,no,,,,,,woodland,http://usnvc.org/explore-classification/
WG_75,H9,hardwood,"Fabaceae/Juglandaceae, other",Fabaceae,GLTR,,Honeylocust,Gleditsia,triacanthos,,,,,,JG,,,0.6,6,Zanne et al 2009,,,forest,WG_75
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Theaceae,GOLA,,,Gordonia,lasianthus,,,,,,SR; H7 used due to family not represented in other groups,,,0.37,,"Jenkins, Chojnacky, et al 2004",,,,
WG_75,,,,Zygophyllaceae,GUOF,,Roughbark lignum-vitae,Guaiacum,officinale,,,,,,JG,"Tropical, Florida and Puerto Rico only",,1.2,110,"Zanne et al 2009; South American Value, near mean of 3 spg values.",,,,
WG_75,,,,Zygophyllaceae,GUSA,,Holywood,Guaiacum,sanctum,,,,,,JG,"Tropical, Florida and Puerto Rico only",,1.1,111,Zanne et al 2009; Central Amercia Value,,,,
WG_75,,,,Nyctaginaceae,GUOB,,,Guapira,obtusata,,,,,,SR- SPG not known,Tropical,,,,,,,,
WG_75,,,,Rubiaceae,GUKR,,,Guettarda,krugii,,,,,,SR- SPG not known,Puerto Rico,,0.743,,Zanne et al 2009; average of 9 other Guettarda species,,,,
WG_75,H9,hardwood,"Fabaceae/Juglandaceae, other",Fabaceae,GYDI,,Kentucky coffeetree ,Gymnocladus,dioicus,,,,,,JG,,,0.53,,Zanne et al 2009,,,forest,WG_75
SMS,H9,,,Fabaceae,HACA2,HACA2,,Haematoxylum,campechianum,,,,,,,,no,0.78,7858,Zanne et al 2009,,,woodland,http://usnvc.org/explore-classification/
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Styracaceae,HATE3,,,Halesia,tetraptera,,,,,,SR; allometry assigned based on not fitting with other taxonomy assignments,,,0.42,,Jenkins 2004; value for genus,,,,
WG_75,H12,hardwood,Hamamelidaceae,Hamamelidaceae,HAVI4,,American witch-hazel,Hamamelis,virginiana,,,,,,kj assigned,,,0.56,,Zanne et al 2009,,,,
SMS,H7,,,Rubiaceae,HETE21,HETE21,,Hedyotis,terminalis,,,,,,,,,0.38,,Asner et al 2011 FEE Hawaii field data,,,,
SMS,,,,Rosaceae,HODI,HODI,,Holodiscus,discolor,,,,,,,,,,,,,,forest,14 of 15 associations forested in http://usnvc.org/explore-classification/ 
WG_75,,,,Aquifoliaceae,ILAN,,,Ilex,anomala,,,,,,SR- SPG not known,Hawaii,,0.48,,Asner et al 2011 FEE Hawaii field data,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Aquifoliaceae,ILCA,,,Ilex,cassine,,,,,,SR- SPG not known; H7 chosen due to family not represented in other group,,,,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Aquifoliaceae,ILDE,,,Ilex,decidua,,,,,,SR- SPG not known; H7 chosen due to family not represented in other group,,,,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Aquifoliaceae,ILMO,,,Ilex,montana,,,,,,SR- SPG not known; H7 chosen due to family not represented in other group,,,,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Aquifoliaceae,ILMY,,,Ilex,myrtifolia,,,,,,SR- SPG not known; H7 chosen due to family not represented in other group,,,,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Aquifoliaceae,ILOP,,American holly,Ilex,opaca,,,,,,kj assigned,,,0.5,,Zanne et al 2009,,,,
WG_75,,,,Theophrastaceae,JABE,,,Jacquinia,berteroi,,,,,,SR- SPG not known,Puerto Rico,,0.77,,Zanne et al 2009; average of 2 other Jacquinia species,,,,
SMS,,,,Oleaceae,JAFL,JAFL,,Jasminum,fluminense,,,,,,genus not in Zanne et al 2009,,yes,,,,,,,
WG_75,H9,hardwood,"Fabaceae/Juglandaceae, other",Juglandaceae,JUCI,,Butternut,Juglans,cinerea,,,,,,AQ. Allometry assigned based on family.,,,0.36,6,Zanne et al 2009,,,forest,http://usnvc.org/explore-classification/
WG_75,H9,hardwood,"Fabaceae/Juglandaceae, other",Juglandaceae,JUNI,,Black walnut ,Juglans,nigra,,,,,,AQ. Allometry assigned based on family.,,,0.51,6,Zanne et al 2009,,,forest,http://usnvc.org/explore-classification/
SMS,,,,Juglandaceae,JUGLA,JUGLA,,Juglans,sp.,,,,,,,,yes,0.467,,Zanne et al 2009; average of 3 NA species,,,forest,http://usnvc.org/explore-classification/
SMS,,,,Cupressaceae,JUCO6,JUCO6,,Juniperus,communis,,,,,,AQ. Allometry assigned based on SPG.,,yes,0.517,28,Zanne et al 2009,,,forest,10 of 19 associations forested in http://usnvc.org/explore-classification/ 
WG_75,C5,conifer,Cupressaceae >= 0.40 spg,Cupressaceae,JUCOD,,Common juniper ,Juniperus,communis var. depressa,,,,,,AQ. Allometry assigned based on SPG.,,yes,0.517,28,Zanne et al 2009,,,forest,WG_75
WG_75,W1,woodland,Cupressaceae,Cupressaceae,JUMO,,"Juniper, oneseed",Juniperus,monosperma,69,,5,45,5 – 45,,,,0.58,,,,,woodland,WG_75
WG_75,W1,woodland,Cupressaceae,Cupressaceae,JUOC,,"Juniper, western",Juniperus,occidentalis,64,,5,87,5 – 87,,,,0.45,,,,,woodland,WG_75
WG_75,W1,woodland,Cupressaceae,Cupressaceae,JUOS,,"Juniper, Utah",Juniperus,osteosperma,65,,8,85,8 – 85,,,,0.54,,,,,woodland,WG_75
SMS,,,,Cupressaceae,JUSC2,JUSC2,,Juniperus,scopulorum,,,,,,,,yes,0.447,,Zanne et al 2009; average of 3 NA species,,,woodland,http://usnvc.org/explore-classification/
SMS,,,,Cupressaceae,JUNIP,JUNIP,,Juniperus,sp.,,,,,,,,yes,0.447,,Zanne et al 2009; average of 3 NA species,,,woodland,http://usnvc.org/explore-classification/
WG_75,C5,conifer,Cupressaceae >= 0.40 spg,Cupressaceae,JUVI,,"Juniper, eastern redcedar",Juniperus,virginiana,68,,3,43,3 – 43,AQ. Allometry assigned based on SPG.,,,0.44,7,Zanne et al 2009,,,forest,WG_75
WG_75,C5,conifer,Cupressaceae >= 0.40 spg,Cupressaceae,JUVIV,,Eastern redcedar ,Juniperus,virginiana var. virginiana,,,3,43,3 – 43,AQ. Allometry assigned based on SPG.,,,0.44,7,Zanne et al 2009,,,forest,WG_75
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ericaceae,KALA,,Mountain laurel,Kalmia,latifolia,,,,,,AQ. Allometry assigned based on family.,,,0.62,6,Zanne et al 2009,,,,
WG_75,,,,Rhamnaceae,KRFE,,Leadwood,Krugiodendron,ferreum,,,,,,AQ,"Tropical, only occur in Florida and Puerto Rico",,1.35,111,"Zanne et al 2009; 2 spg values, Central American value assigned.",,,,
WG_75,C6,conifer,Larix,Pinaceae,LALA,,Tamarack,Larix,larcina,71,,3,51,3 – 51,,,,0.49,,,,,forest,WG_75
WG_75,C6,conifer,Larix,Pinaceae,LAOC,,"Tamarack, western larch",Larix,occidentalis,73,,3,98,3 – 98,,,,0.48,,,,,forest,WG_75
WG_75,C6,conifer,Larix,Pinaceae,LARIX,,"Tamarack, larch (introduced)",Larix,sp.,70,,6,35,6 – 35,,,,0.49,,,,,forest,WG_75
SMS,H9,,,Fabaceae,LAJAM,LAJAM,,Lathyrus,japonicus,,,,,,,,no,,,,,,woodland,http://usnvc.org/explore-classification/
SMS,H9,,,Fabaceae,LEBI2,LEBI2,,Lespedeza,bicolor,,,,,,,,no,,,,,,woodland,http://usnvc.org/explore-classification/
WG_75,H9,hardwood,"Fabaceae/Juglandaceae, other",Fabaceae,LELE10,,White leadtree,Leucaena,leucocephala,,,,,,AQ,Introduced,,0.84,23,"Zanne et al 2009; 3 spg values, assigned value from Mexico",,,forest,WG_75
SMS,,,,Oleaceae,LIJA,LIJA,,Ligustrum,japonicum,,,,,,genus not in Zanne et al 2009,,yes,,,,,,,
SMS,,,,Oleaceae,LISI,LISI,,Ligustrum,sinense,,,,,,genus not in Zanne et al 2009,,yes,,,,,,,
SMS,,,,Oleaceae,LIVU,LIVU,,Ligustrum,vulgare,,,,,,,,yes,0.805,,Zanne et al 2009,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Lauraceae,LIBE3,,,Lindera,benzoin,,,,,,SR- SPG not known,,,,,,,,,
WG_75,H12,hardwood,Hamamelidaceae,Hamamelidaceae,LIST2,,Sweetgum,Liquidambar,styraciflua,611,,3,53,3 – 53,,,,0.46,,,,,,
WG_75,H14,hardwood,Magnoliaceae,Magnoliaceae,LITU,,Tulip poplar,Liriodendron,tulipifera,621,,3,65,3 – 65,,,,0.4,,,,,,
SMS,H9,,,Fabaceae,LUAL4,LUAL4,,Lupinus,albifrons,,,,,,,,no,,,,,,woodland,http://usnvc.org/explore-classification/
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Moraceae,MAPO,,Osage-orange,Maclura,pomifera,,,,,,AQ,,,0.76,6,Zanne et al 2009,,,,
WG_75,H14,hardwood,Magnoliaceae,Magnoliaceae,MAAC,,Cucumber tree,Magnolia,acuminata,,,,,,AQ. Allometry assigned based on family.,,,0.44,6,Zanne et al 2009,,,,
WG_75,H14,hardwood,Magnoliaceae,Magnoliaceae,MAFR,,"Magnolia, Fraser",Magnolia,fraseri,655,,5,13,5 – 13,,,,0.4,,,,,,
WG_75,H14,hardwood,Magnoliaceae,Magnoliaceae,MAMA2,,Bigleaf magnolia,Magnolia,macrophylla,,,,,,"SR- originally listed as H7, but H14 seems to fit better",,,,,,,,,
SMS,H14,,,Magnoliaceae,MAGNO,MAGNO,,Magnolia,sp.,,,,,,,,no,,,,,,,
WG_75,H14,hardwood,Magnoliaceae,Magnoliaceae,MATR,,,Magnolia,tripetala,,,,,,SR- spg not known for species,,,,,,,,,
WG_75,H14,hardwood,Magnoliaceae,Magnoliaceae,MAVI2,,"Magnolia, sweetbay",Magnolia,virginiana,653,,3,19,3 – 19,,,,0.42,,,,,,
SMS,,,,Rosaceae,MALUS,MALUS,,Malus,sp.,,,,,,,,,,,,,,forest,http://usnvc.org/explore-classification/
WG_75,,,,Anacardiaceae,MAIN3,,Mango,Mangifera,indica,,,,,,AQ,"Introduced, Tropical, Only occurs in Florida and Puerto Rico",,0.552,182,"Zanne et al 2009; 6 spg values, value closest to average assigned.",,,,
SMS,H7,,,Celastraceae,MAPO5,MAPO5,,Maytenus,ponceana,,,,,,,,,0.719,,Zanne et al 2009; average of 16 species from the Americas,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Meliaceae,MEAZ,,Chinaberrytree ,Melia,azedarach,,,,,,AQ,Introduced,,0.42,119,"Zanne et al 2009; 9 values, median value assigned.",,,,
WG_75,,,,Sapindaceae,MEBI,,,Melicoccus,bijugatus,,,,,,SR- SPG not known; non-native,non-native,,,,,,,,
SMS,H7,,,Rutaceae,MECL,MECL,,Melicope,clusiifolia,,,,,,,,,0.42,,Selmants et al 2014; Asner et al 2011 FEE (citing Chave et al 2009) have alternate value of 0.5,,,,
SMS,H7,,,Rutaceae,MERA2,MERA2,,Melicope,radiata,,,,,,,,,0.482,,,,,,
SMS,H7,,,Rutaceae,MELIC3,MELIC3,,Melicope,sp.,,,,,,,,,0.482,,,,,,
WG_75,,,,Myrtaceae,MEPO5,,,Metrosideros,polymorpha,,,,,,SR- SPG not known,Hawaii,,0.69,,Asner et al 2011 FEE Hawaii field data,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Myricaceae,MOCE2,,,Morella,cerifera,,,,,,SR- SPG not known; H7 chosen due to family not represented in other group,,,,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Moraceae,MOAL,,White mulberry,Morus,alba,,,,,,AQ,Introduced,,0.578,33,"Zanne et al 2009; 9 values, median value assigned.",,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Moraceae,MORU2,,,Morus,rubra,,,,,,SR; allometry chosen based on family not represented in other categories,,,0.59,,"Jenkins, Chojnacky, et al 2004",,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Moraceae,MORUS,,,Morus,sp.,,,,,,SR; allometry chosen based on family not represented in other categories,,,0.59,,"Jenkins, Chojnacky, et al 2004",,,,
WG_75,,,,Myoporaceae,MYSA,,,Myoporum,sandwicense,,,,,,SR- SPG not known,Hawaii,,0.88,,Asner et al 2011 FEE - citing Chave et al 2009,,,,
WG_75,,,,Myrsinaceae,MYLE2,,,Myrsine,lessertiana,,,,,,SR- SPG not known,Hawaii,,0.5,,Selmants et al 2014 and Ostertag et al 2014; Asner et al 2011 FEE Hawaii field data have alternate value of 0.53,,,,
WG_75,,,,Myrsinaceae,MYSA2,,,Myrsine,sandwicensis,,,,,,SR- SPG not known,Hawaii,,0.61,,Selmants et al 2014 and Ostertag et al 2014; Asner et al 2011 FEE Hawaii field data have alternate value of 0.53,,,,
WG_75,H11,hardwood,"Fagaceae, evergreen",Fagaceae,NODE3,,Tanoak,Notholithocarpus,densiflorus,631,formerly LIDE3 Lithocarpus densiflorus,3,66,3 – 66,NB: USDA currently recognizes this as Notholithocarpus densiflorus (NODE3),,,0.58,,,ever,WG_75,forest,WG_75
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Cornaceae,NYAQ2,,"Tupelo, water",Nyssa,aquatica,691,,3,25,3 – 25,,,,0.46,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Cornaceae,NYBI,,,Nyssa,biflora,,,,,,SR; allometry assignef based on Cornaceae,,,0.46,,"Jenkins, Chojnacky, et al 2004;  syn: N. sylvatica var. biflora",,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Cornaceae,NYSSA,,,Nyssa,sp.,,,,,,Allometry assigned using family.,,,,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Cornaceae,NYSY,,"Tupelo, blackgum",Nyssa,sylvatica,693,,3,50,3 – 50,,,,0.46,,,,,,
SMS,,,,Rosaceae,OECE,OECE,,Oemleria,cerasiformis,,,,,,,,,,,,,,forest,http://usnvc.org/explore-classification/
WG_75,H6,hardwood,Betulaceae  >= 0.60 spg,Betulaceae,OSVI,,Hophornbeam,Ostrya,virginiana,701,,3,21,3 – 21,,,,0.63,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ericaceae,OXAR,,Sourwood,Oxydendrum,arboreum,711,,4,35,4 – 35,,,,0.5,,,,,,
WG_75,W2,woodland,Fabaceae/Rosaceae,Fabaceae,PAFL6,,,Parkinsonia,florida,,,,,,SR - SPG not known; Woodland allometry based on classification of other palo verde,,,,,,,,woodland,WG_75
WG_75,W2,woodland,Fabaceae/Rosaceae,Fabaceae,PAMI5,,"Paloverde, yellow",Parkinsonia,microphylla,none,formerly CEMI6 Cercidium microphyllum,10,25,10 – 25,NB: USDA currently recognizes this as Parkinsonia microphylla (PAMI5) ,,,0.6,,,,,woodland,WG_75
SMS,H9,,,Fabaceae,PARKI2,PARKI2,,Parkinsonia,sp.,,,,,,,,no,,,,,,forest,http://usnvc.org/explore-classification/
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Scrophulariaceae,PATO2,,Princesstree,Paulownia,tomentosa,,,,,,AQ,Introduced,,0.28,32,Zanne et al 2009,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Lauraceae,PEBO,,,Persea,borbonia,,,,,,SR,,,0.51,,"Jenkins, Chojnacky, et al 2004",,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Lauraceae,PEPA37,,,Persea,palustris,,,,,,SR- SPG not known,,,,,,,,,
SMS,,,,Rosaceae,PHPY4,PHPY4,,Photinia,pyrifolia,,,,,,,,,,,,,,woodland,http://usnvc.org/explore-classification/
SMS,H7,,,Euphorbiaceae,PHEP,PHEP,,Phyllanthus,epiphyllanthus,,,,,,,,,0.6,12013,Zanne et al 2009; used value for Phyllanthus acidus which is only species from Americas,,,,
WG_75,C8,conifer,Picea >= 0.35 spg,Pinaceae,PIAB,,"Spruce, Norway",Picea,abies,91,,6,44,6 – 44,,,,0.36,,,,,forest,WG_75
WG_75,C7,conifer,Picea < 0.35 spg,Pinaceae,PIEN,,"Spruce, Engelmann",Picea,engelmannii,93,,3,90,3 – 90,,,,0.33,,,,,forest,WG_75
WG_75,C8,conifer,Picea >= 0.35 spg,Pinaceae,PIGL,,"Spruce, white",Picea,glauca,94,,3,8,3–58,,,,0.37,,,,,forest,WG_75
WG_75,C8,conifer,Picea >= 0.35 spg,Pinaceae,PIMA,,"Spruce, black",Picea,mariana,,,,,,Added by kj,,,0.38,,worldagroforstr.org,,,forest,WG_75
WG_75,C8,conifer,Picea >= 0.35 spg,Pinaceae,PIRU,,Red spruce,Picea,rubens,,,,,,AQ. Allometry assigned using SPG.,,,0.37,7,Zanne et al 2009,,,forest,WG_75
WG_75,C7,conifer,Picea < 0.35 spg,Pinaceae,PISI,,"Spruce, Sitka",Picea,sitchensis,98,,5,83,5 – 283,,,,0.33,,,,,forest,WG_75
WG_75,C8,conifer,Picea >= 0.35 spg,Pinaceae,PICEA,,,Picea,sp.,,,,,,SR. Allometry assigned using this SPG ,,,0.366,,"Jenkins, Chojnacky, et al 2004",,,forest,WG_75
WG_75,,,,Fabaceae,PIAC,,Fustic,Pictetia,aculeata,,,,,,AQ. Puerto Rico,Puerto Rico,,0.8,111,Zanne et al 2009,,,forest,http://usnvc.org/explore-classification/
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PIAL,,"Pine, whitebark",Pinus,albicaulis,101,,3,50,3 – 50,,,,0.43,,,,,forest,WG_75
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PIAR5,,"Pine, Arizona",Pinus,arizonica,135,PIARA and PIARS2 also this species,10,45,10– 45,,,,0.43,,,,,forest,WG_75
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PIBA2,,"Pine, jack",Pinus,banksiana,105,,3,41,3 – 41,,,,0.4,,,,,forest,WG_75
WG_75,W4,woodland,Pinaceae,Pinaceae,PICE,,"Pine, pinyon",Pinus,cembroides,140,,4,19,4 – 19,,,,0.51,,,,,woodland,WG_75
SMS,,,,Pinaceae,PICL,PICL,,Pinus,clausa,,,,,,,,yes,0.46,,Zanne et al 2009,,,woodland,6 of 9 associations woodland in http://usnvc.org/explore-classification/ 
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PICO,,"Pine, lodgepole",Pinus,contorta,108,,3,60,3 – 60,,,,0.38,,,,,forest,WG_75
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PICOL,,"Pine, lodgepole",Pinus,contorta var. latifolia,,syn PICOL2,3,60,3 – 60,SR- spg from P. contorta used,,,0.38,,,,,forest,WG_75
WG_75,C10,conifer,Pinus >= 0.45 spg,Pinaceae,PIEC2,,"Pine, shortleaf",Pinus,echinata,110,,4,50,4 – 50,,,,0.47,,,,,forest,WG_75
WG_75,W4,woodland,Pinaceae,Pinaceae,PIED,,"Pine, pinyon",Pinus,edulis,106,,5,45,5 – 45,,,,0.51,,,,,woodland,WG_75
WG_75,C10,conifer,Pinus >= 0.45 spg,Pinaceae,PIEL,,"Pine, slash",Pinus,elliottii,111,,3,53,3 – 53,,,,0.54,,,,,forest,WG_75
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PIFL2,,"Pine, limber",Pinus,flexilis,,,,,,SR,,,0.37,,Zanne et al 2009,,,forest,WG_75
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PIGL2,,Spruce pine,Pinus,glabra,,,,,,AQ. Allometry assigned using SPG.,,,0.41,7,Zanne et al 2009,,,forest,WG_75
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PIJE,,"Pine, Jeffrey",Pinus,jeffreyi,116,,3,33,3 – 133,,,,0.37,,,,,forest,WG_75
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PILA,,"Pine, sugar",Pinus,lambertiana,117,,3,80,3 – 180,,,,0.34,,,,,forest,WG_75
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PILE,,"Pine, Chihuahua",Pinus,leiophylla,118,,10,35,10– 35,,,,0.43,,,,,forest,WG_75
WG_75,W4,woodland,Pinaceae,Pinaceae,PIMO,,"Pine, pinyon singleleaf",Pinus,monophylla,133,,3,75,3 – 75,,,,0.51,,,,,woodland,WG_75
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PIMO3,,"Pine, western white",Pinus,monticola,119,,4,15,4 – 115,,,,0.36,,,,,forest,WG_75
WG_75,C10,conifer,Pinus >= 0.45 spg,Pinaceae,PIPA2,,"Pine, longleaf",Pinus,palustris,121,,15,48,15– 48,,,,0.54,,,,,forest,WG_75
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PIPO,,"Pine, ponderosa",Pinus,ponderosa,122,,3,18,3 – 118,,,,0.38,,,,,forest,WG_75
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PIPOS,,"Pine, ponderosa",Pinus,ponderosa,122,,3,18,3 – 118,,,,0.38,,,,,forest,WG_75
WG_75,C10,conifer,Pinus >= 0.45 spg,Pinaceae,PIPU5,,Table Mountain pine,Pinus,pungens,,,,,,AQ. Allometry assigned using SPG.,,,0.49,7,Zanne et al 2009,,,forest,WG_75
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PIRE,,"Pine, red",Pinus,resinosa,125,,3,55,3 – 55,,,,0.41,,,,,forest,WG_75
