compiled_by,allometry_ID_manual,group,subgroup,Family,taxonID,acceptedTaxonID,Common name,genus,specificEpithet,FIA Species Code,spg_gcm3,minDiameter,maxDiameter,dbh range (cm),Taxon ID Notes,Zanne et al Reference Number,Initials and References Used and Other Notes,Excluding Factor,density_source,need_density,decid_vs_ever,decid_vs_ever_source,woodland_vs_forest,woodland_vs_forest_source
SMS,,,,Rosaceae,CRMA3,CRMA3,,Crataegus,macrosperma,,,,,,,,,,,,,,forest,http://usnvc.org/explore-classification/
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rosaceae,CRATA,,,Crataegus,sp.,,,,,,,,Allometry assigned based on Rosaceae,,,,,,forest,WG_75
SMS,,,,Rosaceae,CRATASPP,CRATASPP,,Crataegus,spp.,,,,,,,,,,,,,,forest,http://usnvc.org/explore-classification/
SMS,H7,,,Euphorbiaceae,CRBE4,CRBE4,,Croton,betulinus,,0.565,,,,,,,,Average of 2 Mexican and Central American species in Zanne et al 2009,,,,,
SMS,H7,,,Euphorbiaceae,CRDI8,CRDI8,,Croton,discolor,,0.565,,,,,,,,Average of 2 Mexican and Central American species in Zanne et al 2009,,,,,
SMS,H7,,,Euphorbiaceae,CRFL23,CRFL23,,Croton,flavens,,0.565,,,,,,,,Average of 2 Mexican and Central American species in Zanne et al 2009,,,,,
SMS,H7,,,Euphorbiaceae,CRLU2,CRLU2,,Croton,lucidus,,0.565,,,,,,,,Average of 2 Mexican and Central American species in Zanne et al 2009,,,,,
SMS,H7,,,Euphorbiaceae,CROTO,CROTO,,Croton,sp.,,0.565,,,,,,,,Average of 2 Mexican and Central American species in Zanne et al 2009,,,,,
SMS,H7,,,Euphorbiaceae,CROTOSPP,CROTOSPP,,Croton,spp.,,0.565,,,,,,,,Average of 2 Mexican and Central American species in Zanne et al 2009,,,,,
WG_75,W1,woodland,Cupressaceae,Cupressaceae,CUPRE,,"Cypress, pygmy",Cupressus,sp.,50,0.41,4,12,4 – 12,,,,,,,,,woodland,WG_75
SMS,,,,Rosaceae,DAFRF,DAFRF,,Dasiphora,fruticosa,,,,,,,,,,,,,,woodland,http://usnvc.org/explore-classification/
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ebenaceae,DIVI5,,Common persimmon,Diospyros,virginiana,,0.67,,,,,170,"AQ, spg added from Zanne et al. Global wood density database. ",,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Elaeagnaceae,ELAN,,Russian olive,Elaeagnus,angustifolia,,0.464,,,,,33,"AQ, spg added from Zanne et al. Global wood density database. 3 spg values, the median value was assigned.","Introduced not sure if this should be removed, RAC",,,,,,
SMS,H7,,,Erythroxylaceae,ERAR17,ERAR17,,Erythroxylum,areolatum,,0.99,,,,,6180,,,Used value for Erythroxylum havanense which is only Mexican or Central American species in Zanne et al 2009,,,,,
SMS,H7,,,Erythroxylaceae,ERBR11,ERBR11,,Erythroxylum,brevipes,,0.99,,,,,6180,,,Used value for Erythroxylum havanense which is only Mexican or Central American species in Zanne et al 2009,,,,,
SMS,H7,,,Erythroxylaceae,ERRO3,ERRO3,,Erythroxylum,rotundifolium,,0.99,,,,,6180,,,Used value for Erythroxylum havanense which is only Mexican or Central American species in Zanne et al 2009,,,,,
SMS,H7,,,Myrtaceae,EULI,EULI,,Eugenia,ligustrina,,0.981,,,,,6794,,,Zanne et al 2009,,,,,
WG_75,,,,Myrtaceae,EURH,,,Eugenia,rhombea,,,,,,,,SR - SPG not known,Tropical,,,,,,
SMS,H7,,,Myrtaceae,EUXE,EUXE,,Eugenia,xerophytica,,0.815,,,,,,,,Average of 2 Mexican and North American species in Zanne et al 2009,,,,,
WG_75,,,,Rubiaceae,EXCA,,Caribbean princewood,Exostema,caribaeum,,0.99,,,,,23,"AQ, spg added from Zanne et al. Global wood density database. 2 spg values, assigned value from Mexico",Tropical,,,,,,
WG_75,H10,hardwood,"Fagaceae, deciduous",Fagaceae,FAGR,,Beech,Fagus,grandifolia,531,0.56,3,66,3 – 66,,,,,,,decid,WG_75,forest,WG_75
SMS,,,,Oleaceae,FOAC,FOAC,,Forestiera,acuminata,,,,,,,,,,genus not in Zanne et al 2009,yes,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rhamnaceae,FRPU7,,Cascara buckthorn,Frangula,purshiana,,0.501,,,,,118,"BS, spg added from Zanne et al. Global wood density database. Listed under synonym Rhamnus purshiana there.",,,,,,,
WG_75,H16,hardwood,Oleaceae >= 0.55 spg,Oleaceae,FRAM2,,"Ash, white",Fraxinus,americana,541,0.55,3,55,3 – 55,,,,,,,,,,
SMS,,,,Oleaceae,FRAM2/FRPE,FRAM2/FRPE,,Fraxinus,americana/pennsylvanica,,0.55,3,55,3 – 55,,,,,Zanne et al 2009,yes,,,,
WG_75,H15,hardwood,Oleaceae < 0.55 spg,Oleaceae,FRNI,,"Ash, black",Fraxinus,nigra,543,0.45,3,43,3 – 43,,,,,,,,,,
WG_75,H15,hardwood,Oleaceae < 0.55 spg,Oleaceae,FRPE,,"Ash, green",Fraxinus,pennsylvanica,544,0.53,3,42,3 – 42,,,,,,,,,,
WG_75,H15,hardwood,Oleaceae < 0.55 spg,Oleaceae,FRAXI,,Ash,Fraxinus,sp.,540,0.51,4,32,4 – 32,,,,,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Sterculiaceae,FRCA6,,California flannelbush,Fremontodendron,californicum,,,,,,,,"kj assigned, spg not known",,,,,,,
SMS,H9,,,Fabaceae,GAST2,GAST2,,Galactia,striata,,,,,,,,,,,no,,,woodland,http://usnvc.org/explore-classification/
WG_75,H9,hardwood,"Fabaceae/Juglandaceae, other",Fabaceae,GLTR,,Honeylocust,Gleditsia,triacanthos,,0.6,,,,,6,"JG, Spg added from Zanne et al. Global wood density database. ",,,,,,forest,WG_75
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Theaceae,GOLA,,,Gordonia,lasianthus,,0.37,,,,,,"SR-SPG from Jenkins, Chojnacky, et all 2004; H7 used due to family not represented in other groups",,,,,,,
WG_75,,,,Zygophyllaceae,GUOF,,Roughbark lignum-vitae,Guaiacum,officinale,,1.2,,,,,110,"JG, spg added from Zanne et al. Global wood density database. South American Value, near mean of 3 spg values.","Tropical, Florida and Puerto Rico only",,,,,,
WG_75,,,,Zygophyllaceae,GUSA,,Holywood,Guaiacum,sanctum,,1.1,,,,,111,"JG, spg added from Zanne et al. Global wood density database. Central Amercia Value","Tropical, Florida and Puerto Rico only",,,,,,
WG_75,,,,Nyctaginaceae,GUOB,,,Guapira,obtusata,,,,,,,,SR- SPG not known,Tropical,,,,,,
WG_75,,,,Rubiaceae,GUKR,,,Guettarda,krugii,,0.743,,,,,,SR- SPG not known,Puerto Rico,Zanne et al – average of 9 other Guettarda species,,,,,
WG_75,H9,hardwood,"Fabaceae/Juglandaceae, other",Fabaceae,GYDI,,Kentucky coffeetree ,Gymnocladus,dioicus,,0.53,,,,,,"JG, spg added from Zanne et al. Global wood density database. ",,,,,,forest,WG_75
SMS,H9,,,Fabaceae,HACA2,HACA2,,Haematoxylum,campechianum,,0.78,,,,,7858,,,Zanne et al 2009,no,,,woodland,http://usnvc.org/explore-classification/
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Styracaceae,HATE3,,,Halesia,tetraptera,,,,,,,,SR- spg not known for species though Jenkins 2004 lists genus as 0.42; allometry assigned based on not fitting with other taxonomy assignments,,,,,,,
WG_75,H12,hardwood,Hamamelidaceae,Hamamelidaceae,HAVI4,,American witch-hazel,Hamamelis,virginiana,,0.56,,,,,,"kj assigned, spg from Zanne et al. 2009",,,,,,,
SMS,H7,,,Rubiaceae,HETE21,HETE21,,Hedyotis,terminalis,,0.38,,,,,,,,Asner et al 2011 FEE field data,,,,,
SMS,,,,Rosaceae,HODI,HODI,,Holodiscus,discolor,,,,,,,,,,,,,,forest,14 of 15 associations forested in http://usnvc.org/explore-classification/ 
WG_75,,,,Aquifoliaceae,ILAN,,,Ilex,anomala,,0.48,,,,,,SR- SPG not known,Hawaii,Asner et al 2011 FEE field data,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Aquifoliaceae,ILCA,,,Ilex,cassine,,,,,,,,SR- SPG not known; H7 chosen due to family not represented in other group,,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Aquifoliaceae,ILDE,,,Ilex,decidua,,,,,,,,SR- SPG not known; H7 chosen due to family not represented in other group,,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Aquifoliaceae,ILMO,,,Ilex,montana,,,,,,,,SR- SPG not known; H7 chosen due to family not represented in other group,,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Aquifoliaceae,ILMY,,,Ilex,myrtifolia,,,,,,,,SR- SPG not known; H7 chosen due to family not represented in other group,,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Aquifoliaceae,ILOP,,American holly,Ilex,opaca,,0.5,,,,,,"kj assigned, spg from Zanne et al. 2009",,,,,,,
WG_75,,,,Theophrastaceae,JABE,,,Jacquinia,berteroi,,0.77,,,,,,SR- SPG not known,Puerto Rico,Zanne et al – average of 2 other Jacquinia species,,,,,
SMS,,,,Oleaceae,JAFL,JAFL,,Jasminum,fluminense,,,,,,,,,,genus not in Zanne et al 2009,yes,,,,
WG_75,H9,hardwood,"Fabaceae/Juglandaceae, other",Juglandaceae,JUCI,,Butternut,Juglans,cinerea,,0.36,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned based on family.",,,,,,forest,http://usnvc.org/explore-classification/
WG_75,H9,hardwood,"Fabaceae/Juglandaceae, other",Juglandaceae,JUNI,,Black walnut ,Juglans,nigra,,0.51,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned based on family.",,,,,,forest,http://usnvc.org/explore-classification/
SMS,,,,Juglandaceae,JUGLA,JUGLA,,Juglans,sp.,,0.467,,,,,,,,average of 3 NA species in Zanne et al 2009,yes,,,forest,http://usnvc.org/explore-classification/
SMS,,,,Cupressaceae,JUCO6,JUCO6,,Juniperus,communis,,0.517,,,,,28,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned based on SPG.",,Zanne et al 2009,yes,,,forest,10 of 19 associations forested in http://usnvc.org/explore-classification/ 
WG_75,C5,conifer,Cupressaceae >= 0.40 spg,Cupressaceae,JUCOD,,Common juniper ,Juniperus,communis var. depressa,,0.517,,,,,28,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned based on SPG.",,Zanne et al 2009,yes,,,forest,WG_75
WG_75,W1,woodland,Cupressaceae,Cupressaceae,JUMO,,"Juniper, oneseed",Juniperus,monosperma,69,0.58,5,45,5 – 45,,,,,,,,,woodland,WG_75
WG_75,W1,woodland,Cupressaceae,Cupressaceae,JUOC,,"Juniper, western",Juniperus,occidentalis,64,0.45,5,87,5 – 87,,,,,,,,,woodland,WG_75
WG_75,W1,woodland,Cupressaceae,Cupressaceae,JUOS,,"Juniper, Utah",Juniperus,osteosperma,65,0.54,8,85,8 – 85,,,,,,,,,woodland,WG_75
SMS,,,,Cupressaceae,JUSC2,JUSC2,,Juniperus,scopulorum,,0.447,,,,,,,,average of 3 NA species in Zanne et al 2009,yes,,,woodland,http://usnvc.org/explore-classification/
SMS,,,,Cupressaceae,JUNIP,JUNIP,,Juniperus,sp.,,0.447,,,,,,,,average of 3 NA species in Zanne et al 2009,yes,,,woodland,http://usnvc.org/explore-classification/
WG_75,C5,conifer,Cupressaceae >= 0.40 spg,Cupressaceae,JUVI,,"Juniper, eastern redcedar",Juniperus,virginiana,68,0.44,3,43,3 – 43,,7,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned based on SPG.",,,,,,forest,WG_75
WG_75,C5,conifer,Cupressaceae >= 0.40 spg,Cupressaceae,JUVIV,,Eastern redcedar ,Juniperus,virginiana var. virginiana,,0.44,3,43,3 – 43,,7,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned based on SPG.",,,,,,forest,WG_75
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ericaceae,KALA,,Mountain laurel,Kalmia,latifolia,,0.62,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned based on family.",,,,,,,
WG_75,,,,Rhamnaceae,KRFE,,Leadwood,Krugiodendron,ferreum,,1.35,,,,,111,"AQ, spg added from Zanne et al. Global wood density database. 2 spg values, Central American value assigned.","Tropical, only occur in Florida and Puerto Rico",,,,,,
WG_75,C6,conifer,Larix,Pinaceae,LALA,,Tamarack,Larix,larcina,71,0.49,3,51,3 – 51,,,,,,,,,forest,WG_75
WG_75,C6,conifer,Larix,Pinaceae,LAOC,,"Tamarack, western larch",Larix,occidentalis,73,0.48,3,98,3 – 98,,,,,,,,,forest,WG_75
WG_75,C6,conifer,Larix,Pinaceae,LARIX,,"Tamarack, larch (introduced)",Larix,sp.,70,0.49,6,35,6 – 35,,,,,,,,,forest,WG_75
SMS,H9,,,Fabaceae,LAJAM,LAJAM,,Lathyrus,japonicus,,,,,,,,,,,no,,,woodland,http://usnvc.org/explore-classification/
SMS,H9,,,Fabaceae,LEBI2,LEBI2,,Lespedeza,bicolor,,,,,,,,,,,no,,,woodland,http://usnvc.org/explore-classification/
WG_75,H9,hardwood,"Fabaceae/Juglandaceae, other",Fabaceae,LELE10,,White leadtree,Leucaena,leucocephala,,0.84,,,,,23,"AQ, spg added from Zanne et al. Global wood density database. 3 spg values, assigned value from Mexico",Introduced,,,,,forest,WG_75
SMS,,,,Oleaceae,LIJA,LIJA,,Ligustrum,japonicum,,,,,,,,,,genus not in Zanne et al 2009,yes,,,,
SMS,,,,Oleaceae,LISI,LISI,,Ligustrum,sinense,,,,,,,,,,genus not in Zanne et al 2009,yes,,,,
SMS,,,,Oleaceae,LIVU,LIVU,,Ligustrum,vulgare,,0.805,,,,,,,,Zanne et al 2009,yes,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Lauraceae,LIBE3,,,Lindera,benzoin,,,,,,,,SR- SPG not known,,,,,,,
WG_75,H12,hardwood,Hamamelidaceae,Hamamelidaceae,LIST2,,Sweetgum,Liquidambar,styraciflua,611,0.46,3,53,3 – 53,,,,,,,,,,
WG_75,H14,hardwood,Magnoliaceae,Magnoliaceae,LITU,,Tulip poplar,Liriodendron,tulipifera,621,0.4,3,65,3 – 65,,,,,,,,,,
SMS,H9,,,Fabaceae,LUAL4,LUAL4,,Lupinus,albifrons,,,,,,,,,,,no,,,woodland,http://usnvc.org/explore-classification/
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Moraceae,MAPO,,Osage-orange,Maclura,pomifera,,0.76,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. ",,,,,,,
WG_75,H14,hardwood,Magnoliaceae,Magnoliaceae,MAAC,,Cucumber tree,Magnolia,acuminata,,0.44,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned based on family.",,,,,,,
WG_75,H14,hardwood,Magnoliaceae,Magnoliaceae,MAFR,,"Magnolia, Fraser",Magnolia,fraseri,655,0.4,5,13,5 – 13,,,,,,,,,,
WG_75,H14,hardwood,Magnoliaceae,Magnoliaceae,MAMA2,,Bigleaf magnolia,Magnolia,macrophylla,,,,,,,,"SR- originally listed as H7, but H14 seems to fit better",,,,,,,
SMS,H14,,,Magnoliaceae,MAGNO,MAGNO,,Magnolia,sp.,,,,,,,,,,,no,,,,
WG_75,H14,hardwood,Magnoliaceae,Magnoliaceae,MATR,,,Magnolia,tripetala,,,,,,,,SR- spg not known for species,,,,,,,
WG_75,H14,hardwood,Magnoliaceae,Magnoliaceae,MAVI2,,"Magnolia, sweetbay",Magnolia,virginiana,653,0.42,3,19,3 – 19,,,,,,,,,,
SMS,,,,Rosaceae,MALUS,MALUS,,Malus,sp.,,,,,,,,,,,,,,forest,http://usnvc.org/explore-classification/
WG_75,,,,Anacardiaceae,MAIN3,,Mango,Mangifera,indica,,0.552,,,,,182,"AQ, spg added from Zanne et al. Global wood density database. 6 spg values, value closest to average assigned.","Introduced, Tropical, Only occurs in Florida and Puerto Rico",,,,,,
SMS,H7,,,Celastraceae,MAPO5,MAPO5,,Maytenus,ponceana,,0.719,,,,,,,,Average of 16 species from the Americas in Zanne et al 2009,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Meliaceae,MEAZ,,Chinaberrytree ,Melia,azedarach,,0.42,,,,,119,"AQ, spg added from Zanne et al. Global wood density database. 9 values, median value assigned.",Introduced,,,,,,
WG_75,,,,Sapindaceae,MEBI,,,Melicoccus,bijugatus,,,,,,,,SR- SPG not known; non-native,non-native,,,,,,
SMS,H7,,,Rutaceae,MECL,MECL,,Melicope,clusiifolia,,0.5,,,,,,,,Asner et al 2011 FEE – citing Chave et al 2009,,,,,
SMS,H7,,,Rutaceae,MERA2,MERA2,,Melicope,radiata,,0.482,,,,,,,,,,,,,
SMS,H7,,,Rutaceae,MELIC3,MELIC3,,Melicope,sp.,,0.482,,,,,,,,,,,,,
WG_75,,,,Myrtaceae,MEPO5,,,Metrosideros,polymorpha,,0.69,,,,,,SR- SPG not known,Hawaii,Asner et al 2011 FEE field data,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Myricaceae,MOCE2,,,Morella,cerifera,,,,,,,,SR- SPG not known; H7 chosen due to family not represented in other group,,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Moraceae,MOAL,,White mulberry,Morus,alba,,0.578,,,,,33,"AQ, spg added from Zanne et al. Global wood density database. 9 values, median value assigned.",Introduced,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Moraceae,MORU2,,,Morus,rubra,,0.59,,,,,,"SR - SPG from Jenkins, Chojnacky, et al 2004; allometry chosen based on family not represented in other categories",,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Moraceae,MORUS,,,Morus,sp.,,0.59,,,,,,"SR - SPG from Jenkins, Chojnacky, et al 2004; allometry chosen based on family not represented in other categories",,,,,,,
WG_75,,,,Myoporaceae,MYSA,,,Myoporum,sandwicense,,0.88,,,,,,SR- SPG not known,Hawaii,Asner et al 2011 FEE - citing Chave et al 2009,,,,,
WG_75,,,,Myrsinaceae,MYLE2,,,Myrsine,lessertiana,,0.53,,,,,,SR- SPG not known,Hawaii,Asner et al 2011 FEE field data,,,,,
WG_75,,,,Myrsinaceae,MYSA2,,,Myrsine,sandwicensis,,0.53,,,,,,SR- SPG not known,Hawaii,Asner et al 2011 FEE field data,,,,,
WG_75,H11,hardwood,"Fagaceae, evergreen",Fagaceae,NODE3,,Tanoak,Notholithocarpus,densiflorus,631,0.58,3,66,3 – 66,formerly LIDE3 Lithocarpus densiflorus,,NB: USDA currently recognizes this as Notholithocarpus densiflorus (NODE3),,,,ever,WG_75,forest,WG_75
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Cornaceae,NYAQ2,,"Tupelo, water",Nyssa,aquatica,691,0.46,3,25,3 – 25,,,,,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Cornaceae,NYBI,,,Nyssa,biflora,,0.46,,,,,,"SR - SPG from Jenkins, Chojnacky, et al 2004 syn: N. sylvatica var. biflora; allometry assignef based on Cornaceae",,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Cornaceae,NYSSA,,,Nyssa,sp.,,,,,,,,Allometry assigned using family.,,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Cornaceae,NYSY,,"Tupelo, blackgum",Nyssa,sylvatica,693,0.46,3,50,3 – 50,,,,,,,,,,
SMS,,,,Rosaceae,OECE,OECE,,Oemleria,cerasiformis,,,,,,,,,,,,,,forest,http://usnvc.org/explore-classification/
WG_75,H6,hardwood,Betulaceae  >= 0.60 spg,Betulaceae,OSVI,,Hophornbeam,Ostrya,virginiana,701,0.63,3,21,3 – 21,,,,,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ericaceae,OXAR,,Sourwood,Oxydendrum,arboreum,711,0.5,4,35,4 – 35,,,,,,,,,,
WG_75,W2,woodland,Fabaceae/Rosaceae,Fabaceae,PAFL6,,,Parkinsonia,florida,,,,,,,,SR - SPG not known; Woodland allometry based on classifcation of other palo verde,,,,,,woodland,WG_75
WG_75,W2,woodland,Fabaceae/Rosaceae,Fabaceae,PAMI5,,"Paloverde, yellow",Parkinsonia,microphylla,none,0.6,10,25,10 – 25,formerly CEMI6 Cercidium microphyllum,,NB: USDA currently recognizes this as Parkinsonia microphylla (PAMI5) ,,,,,,woodland,WG_75
SMS,H9,,,Fabaceae,PARKI2,PARKI2,,Parkinsonia,sp.,,,,,,,,,,,no,,,forest,http://usnvc.org/explore-classification/
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Scrophulariaceae,PATO2,,Princesstree,Paulownia,tomentosa,,0.28,,,,,32,"AQ, spg added from Zanne et al. Global wood density database. ",Introduced,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Lauraceae,PEBO,,,Persea,borbonia,,0.51,,,,,,"SR-SPG from Jenkins, Chojnacky, et al 2004",,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Lauraceae,PEPA37,,,Persea,palustris,,,,,,,,SR- SPG not known,,,,,,,
SMS,,,,Rosaceae,PHPY4,PHPY4,,Photinia,pyrifolia,,,,,,,,,,,,,,woodland,http://usnvc.org/explore-classification/
SMS,H7,,,Euphorbiaceae,PHEP,PHEP,,Phyllanthus,epiphyllanthus,,0.6,,,,,12013,,,Used value for Phyllanthus acidus which is only species from Americas in Zanne et al 2009,,,,,
WG_75,C8,conifer,Picea >= 0.35 spg,Pinaceae,PIAB,,"Spruce, Norway",Picea,abies,91,0.36,6,44,6 – 44,,,,,,,,,forest,WG_75
WG_75,C7,conifer,Picea < 0.35 spg,Pinaceae,PIEN,,"Spruce, Engelmann",Picea,engelmannii,93,0.33,3,90,3 – 90,,,,,,,,,forest,WG_75
WG_75,C8,conifer,Picea >= 0.35 spg,Pinaceae,PIGL,,"Spruce, white",Picea,glauca,94,0.37,3,8,3–58,,,,,,,,,forest,WG_75
WG_75,C8,conifer,Picea >= 0.35 spg,Pinaceae,PIMA,,"Spruce, black",Picea,mariana,,0.38,,,,,,Added by kj - based on worldagroforstr.org,,,,,,forest,WG_75
WG_75,C8,conifer,Picea >= 0.35 spg,Pinaceae,PIRU,,Red spruce,Picea,rubens,,0.37,,,,,7,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.",,,,,,forest,WG_75
WG_75,C7,conifer,Picea < 0.35 spg,Pinaceae,PISI,,"Spruce, Sitka",Picea,sitchensis,98,0.33,5,83,5 – 283,,,,,,,,,forest,WG_75
WG_75,C8,conifer,Picea >= 0.35 spg,Pinaceae,PICEA,,,Picea,sp.,,0.366,,,,,,"SR - SPG from Jenkins, Chojnacky, et al 2004. Allometry assigned using this SPG ",,,,,,forest,WG_75
WG_75,,,,Fabaceae,PIAC,,Fustic,Pictetia,aculeata,,0.8,,,,,111,"AQ, spg added from Zanne et al. Global wood density database. Puerto Rico",Puerto Rico,,,,,forest,http://usnvc.org/explore-classification/
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PIAL,,"Pine, whitebark",Pinus,albicaulis,101,0.43,3,50,3 – 50,,,,,,,,,forest,WG_75
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PIAR5,,"Pine, Arizona",Pinus,arizonica,135,0.43,10,45,10– 45,PIARA and PIARS2 also this species,,,,,,,,forest,WG_75
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PIBA2,,"Pine, jack",Pinus,banksiana,105,0.4,3,41,3 – 41,,,,,,,,,forest,WG_75
WG_75,W4,woodland,Pinaceae,Pinaceae,PICE,,"Pine, pinyon",Pinus,cembroides,140,0.51,4,19,4 – 19,,,,,,,,,woodland,WG_75
SMS,,,,Pinaceae,PICL,PICL,,Pinus,clausa,,0.46,,,,,,,,Zanne et al 2009,yes,,,woodland,6 of 9 associations woodland in http://usnvc.org/explore-classification/ 
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PICO,,"Pine, lodgepole",Pinus,contorta,108,0.38,3,60,3 – 60,,,,,,,,,forest,WG_75
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PICOL,,"Pine, lodgepole",Pinus,contorta var. latifolia,,0.38,3,60,3 – 60,syn PICOL2,,SR- spg from P. contorta used,,,,,,forest,WG_75
WG_75,C10,conifer,Pinus >= 0.45 spg,Pinaceae,PIEC2,,"Pine, shortleaf",Pinus,echinata,110,0.47,4,50,4 – 50,,,,,,,,,forest,WG_75
WG_75,W4,woodland,Pinaceae,Pinaceae,PIED,,"Pine, pinyon",Pinus,edulis,106,0.51,5,45,5 – 45,,,,,,,,,woodland,WG_75
WG_75,C10,conifer,Pinus >= 0.45 spg,Pinaceae,PIEL,,"Pine, slash",Pinus,elliottii,111,0.54,3,53,3 – 53,,,,,,,,,forest,WG_75
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PIFL2,,"Pine, limber",Pinus,flexilis,,0.37,,,,,,SR- spg from Zanne et al. Global wood density database. ,,,,,,forest,WG_75
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PIGL2,,Spruce pine,Pinus,glabra,,0.41,,,,,7,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.",,,,,,forest,WG_75
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PIJE,,"Pine, Jeffrey",Pinus,jeffreyi,116,0.37,3,33,3 – 133,,,,,,,,,forest,WG_75
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PILA,,"Pine, sugar",Pinus,lambertiana,117,0.34,3,80,3 – 180,,,,,,,,,forest,WG_75
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PILE,,"Pine, Chihuahua",Pinus,leiophylla,118,0.43,10,35,10– 35,,,,,,,,,forest,WG_75
WG_75,W4,woodland,Pinaceae,Pinaceae,PIMO,,"Pine, pinyon singleleaf",Pinus,monophylla,133,0.51,3,75,3 – 75,,,,,,,,,woodland,WG_75
