domainID,siteID,plotID,subplotID,clipCellNumber,clipID,sampleID,date,ovenInDate,ovenOutDate,weighDate,herbGroup,qaDryMass,dryMass,measuredBy,recordedBy,enteredBy,remarks
NA,NA,NA,NA,197,NIWO_041_0197,NEON.hbp.NIWO0410197.20150803.CSG,2015-08-11T22:01:45.171Z,2015-08-04T22:03:00.000Z,2015-08-10T16:13:00.000Z,2015-08-10T00:00:00.000Z,Cool Season Graminoids,N,0.59,jjenson@field-ops.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,197,NIWO_041_0197,NEON.hbp.NIWO0410197.20150803.BRY,2015-08-11T22:01:45.171Z,2015-08-04T22:03:00.000Z,2015-08-10T16:09:00.000Z,2015-08-10T00:00:00.000Z,Bryophyte,N,1.85,jjenson@field-ops.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,186,NIWO_054_0186,NEON.hbp.NIWO0540186.20150803.FRB,2015-08-11T22:01:45.171Z,2015-08-04T19:02:00.000Z,2015-08-10T15:34:00.000Z,2015-08-10T00:00:00.000Z,Non-leguminous Forbs,N,9.75,jjenson@field-ops.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,186,NIWO_054_0186,NEON.hbp.NIWO0540186.20150803.LFB,2015-08-11T22:01:45.171Z,2015-08-04T19:02:00.000Z,2015-08-10T15:37:00.000Z,2015-08-10T00:00:00.000Z,Leguminous Forbs,N,1.85,jjenson@field-ops.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,83,NIWO_069_0083,NEON.hbp.NIWO0690083.20150803.CSG,2015-08-11T22:01:45.171Z,2015-08-04T19:48:00.000Z,2015-08-10T15:53:00.000Z,2015-08-10T00:00:00.000Z,Cool Season Graminoids,N,3.99,jjenson@field-ops.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,83,NIWO_069_0083,NEON.hbp.NIWO0690083.20150803.BRY,2015-08-11T22:01:45.171Z,2015-08-04T19:48:00.000Z,2015-08-10T15:54:00.000Z,2015-08-10T00:00:00.000Z,Bryophyte,N,0.04,jjenson@field-ops.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,186,NIWO_054_0186,NEON.hbp.NIWO0540186.20150803.CSG,2015-08-11T22:01:45.171Z,2015-08-04T19:02:00.000Z,2015-08-10T15:33:00.000Z,2015-08-10T00:00:00.000Z,Cool Season Graminoids,N,2.45,jjenson@field-ops.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,31,186,NA,NEON.hbp.NIWO0540186.20150803.BRY,2015-08-11T22:01:45.171Z,2015-08-04T19:02:00.000Z,2015-08-10T15:33:00.000Z,2015-08-10T00:00:00.000Z,Bryophyte,N,1.66,jjenson@field-ops.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,142,NIWO_051_0142,NEON.hbp.NIWO0510142.20150806.FRB,2015-08-11T22:01:45.171Z,2015-08-07T16:35:00.000Z,2015-08-11T19:15:00.000Z,2015-08-11T00:00:00.000Z,Non-leguminous Forbs,N,2.13,mbitters@field-ops.org,mbitters@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,142,NIWO_051_0142,NEON.hbp.NIWO0510142.20150806.WST,2015-08-11T22:01:45.171Z,2015-08-07T16:35:00.000Z,2015-08-11T19:15:00.000Z,2015-08-11T00:00:00.000Z,Woody-stemmed Plants,N,7.36,mbitters@field-ops.org,mbitters@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,37,NIWO_049_0037,NEON.hbp.NIWO0490037.20150803.WSG,2015-08-13T21:08:32.507Z,2015-08-05T17:40:00.000Z,2015-08-10T17:48:00.000Z,2015-08-10T00:00:00.000Z,Warm Season Graminoids,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,37,NIWO_049_0037,NEON.hbp.NIWO0490037.20150803.LFB,2015-08-13T21:08:32.507Z,2015-08-05T17:40:00.000Z,2015-08-10T17:48:00.000Z,2015-08-10T00:00:00.000Z,Leguminous Forbs,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,37,NIWO_049_0037,NEON.hbp.NIWO0490037.20150803.BRY,2015-08-13T21:08:32.507Z,2015-08-05T17:40:00.000Z,2015-08-10T17:48:00.000Z,2015-08-10T00:00:00.000Z,Bryophyte,N,0.91,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,37,NIWO_049_0037,NEON.hbp.NIWO0490037.20150803.CSG,2015-08-13T21:08:32.507Z,2015-08-05T17:40:00.000Z,2015-08-10T17:48:00.000Z,2015-08-10T00:00:00.000Z,Cool Season Graminoids,N,3.07,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,200,NIWO_013_0200,NEON.hbp.NIWO0130200.20150804.FRB,2015-08-13T21:08:32.507Z,2015-08-05T15:40:00.000Z,2015-08-10T18:13:00.000Z,2015-08-10T00:00:00.000Z,Non-leguminous Forbs,N,6.82,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,200,NIWO_013_0200,NEON.hbp.NIWO0130200.20150804.WST,2015-08-13T21:08:32.507Z,2015-08-05T15:40:00.000Z,2015-08-10T18:13:00.000Z,2015-08-10T00:00:00.000Z,Woody-stemmed Plants,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,200,NIWO_013_0200,NEON.hbp.NIWO0130200.20150804.WSG,2015-08-13T21:08:32.507Z,2015-08-05T15:40:00.000Z,2015-08-10T18:13:00.000Z,2015-08-10T00:00:00.000Z,Warm Season Graminoids,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,200,NIWO_013_0200,NEON.hbp.NIWO0130200.20150804.LFB,2015-08-13T21:08:32.507Z,2015-08-05T15:40:00.000Z,2015-08-10T18:13:00.000Z,2015-08-10T00:00:00.000Z,Leguminous Forbs,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,211,NIWO_053_0211,NEON.hbp.NIWO0530211.20150803.BRY,2015-08-13T21:08:32.507Z,2015-08-05T15:20:00.000Z,2015-08-10T18:18:00.000Z,2015-08-10T00:00:00.000Z,Bryophyte,N,0.12,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,16,NIWO_024_0016,NEON.hbp.NIWO0240016.20150804.FRB,2015-08-13T21:08:32.507Z,2015-08-05T17:45:00.000Z,2015-08-10T17:14:00.000Z,2015-08-10T00:00:00.000Z,Non-leguminous Forbs,N,14.82,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,16,NIWO_024_0016,NEON.hbp.NIWO0240016.20150804.WST,2015-08-13T21:08:32.507Z,2015-08-05T17:45:00.000Z,2015-08-10T17:14:00.000Z,2015-08-10T00:00:00.000Z,Woody-stemmed Plants,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,16,NIWO_024_0016,NEON.hbp.NIWO0240016.20150804.FRB,2015-08-13T21:08:32.507Z,2015-08-05T17:45:00.000Z,2015-08-10T17:14:00.000Z,2015-08-10T00:00:00.000Z,Non-leguminous Forbs,Y,14.82,hdoench@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,16,NIWO_024_0016,NEON.hbp.NIWO0240016.20150804.LFB,2015-08-13T21:08:32.507Z,2015-08-05T17:45:00.000Z,2015-08-10T17:14:00.000Z,2015-08-10T00:00:00.000Z,Leguminous Forbs,Y,0.3,hdoench@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,16,NIWO_024_0016,NEON.hbp.NIWO0240016.20150804.WSG,2015-08-13T21:08:32.507Z,2015-08-05T17:45:00.000Z,2015-08-10T17:14:00.000Z,2015-08-10T00:00:00.000Z,Warm Season Graminoids,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,16,NIWO_024_0016,NEON.hbp.NIWO0240016.20150804.LFB,2015-08-13T21:08:32.507Z,2015-08-05T17:45:00.000Z,2015-08-10T17:14:00.000Z,2015-08-10T00:00:00.000Z,Leguminous Forbs,N,0.29,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,211,NIWO_053_0211,NEON.hbp.NIWO0530211.20150803.FRB,2015-08-13T21:08:32.507Z,2015-08-05T15:20:00.000Z,2015-08-10T18:18:00.000Z,2015-08-10T00:00:00.000Z,Non-leguminous Forbs,N,0.11,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,16,NIWO_024_0016,NEON.hbp.NIWO0240016.20150804.BRY,2015-08-13T21:08:32.507Z,2015-08-05T17:45:00.000Z,2015-08-10T17:14:00.000Z,2015-08-10T00:00:00.000Z,Bryophyte,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,211,NIWO_053_0211,NEON.hbp.NIWO0530211.20150803.LFB,2015-08-13T21:08:32.507Z,2015-08-05T15:20:00.000Z,2015-08-10T18:18:00.000Z,2015-08-10T00:00:00.000Z,Leguminous Forbs,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,16,NIWO_024_0016,NEON.hbp.NIWO0240016.20150804.CSG,2015-08-13T21:08:32.507Z,2015-08-05T17:45:00.000Z,2015-08-10T17:14:00.000Z,2015-08-10T00:00:00.000Z,Cool Season Graminoids,N,3.99,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,211,NIWO_053_0211,NEON.hbp.NIWO0530211.20150803.WSG,2015-08-13T21:08:32.507Z,2015-08-05T15:20:00.000Z,2015-08-10T18:18:00.000Z,2015-08-10T00:00:00.000Z,Warm Season Graminoids,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,37,NIWO_049_0037,NEON.hbp.NIWO0490037.20150803.FRB,2015-08-13T21:08:32.507Z,2015-08-05T17:40:00.000Z,2015-08-10T17:48:00.000Z,2015-08-10T00:00:00.000Z,Non-leguminous Forbs,N,2.7,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,211,NIWO_053_0211,NEON.hbp.NIWO0530211.20150803.CSG,2015-08-13T21:08:32.507Z,2015-08-05T15:20:00.000Z,2015-08-10T18:18:00.000Z,2015-08-10T00:00:00.000Z,Cool Season Graminoids,N,0.22,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,37,NIWO_049_0037,NEON.hbp.NIWO0490037.20150803.WST,2015-08-13T21:08:32.507Z,2015-08-05T17:40:00.000Z,2015-08-10T17:48:00.000Z,2015-08-10T00:00:00.000Z,Woody-stemmed Plants,N,18.85,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,37,NIWO_052_0037,NEON.hbp.NIWO0520037.20150803.CSG,2015-08-13T21:08:32.507Z,2015-08-05T15:10:00.000Z,2015-08-10T18:27:00.000Z,2015-08-10T00:00:00.000Z,Cool Season Graminoids,N,4.26,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,37,NIWO_052_0037,NEON.hbp.NIWO0520037.20150803.WSG,2015-08-13T21:08:32.507Z,2015-08-05T15:10:00.000Z,2015-08-10T18:27:00.000Z,2015-08-10T00:00:00.000Z,Warm Season Graminoids,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,211,NIWO_053_0211,NEON.hbp.NIWO0530211.20150803.WST,2015-08-13T21:08:32.507Z,2015-08-05T15:20:00.000Z,2015-08-10T18:18:00.000Z,2015-08-10T00:00:00.000Z,Woody-stemmed Plants,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,37,NIWO_052_0037,NEON.hbp.NIWO0520037.20150803.BRY,2015-08-13T21:08:32.507Z,2015-08-05T15:10:00.000Z,2015-08-10T18:27:00.000Z,2015-08-10T00:00:00.000Z,Bryophyte,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,37,NIWO_052_0037,NEON.hbp.NIWO0520037.20150803.WST,2015-08-13T21:08:32.507Z,2015-08-05T15:10:00.000Z,2015-08-10T18:27:00.000Z,2015-08-10T00:00:00.000Z,Woody-stemmed Plants,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,46,NIWO_063_0046,NEON.hbp.NIWO0630046.20150804.BRY,2015-08-13T21:08:32.507Z,2015-08-05T15:50:00.000Z,2015-08-10T18:07:00.000Z,2015-08-10T00:00:00.000Z,Bryophyte,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,37,NIWO_052_0037,NEON.hbp.NIWO0520037.20150803.LFB,2015-08-13T21:08:32.507Z,2015-08-05T15:10:00.000Z,2015-08-10T18:27:00.000Z,2015-08-10T00:00:00.000Z,Leguminous Forbs,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,37,NIWO_052_0037,NEON.hbp.NIWO0520037.20150803.FRB,2015-08-13T21:08:32.507Z,2015-08-05T15:10:00.000Z,2015-08-10T18:27:00.000Z,2015-08-10T00:00:00.000Z,Non-leguminous Forbs,N,8.72,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,200,NIWO_013_0200,NEON.hbp.NIWO0130200.20150804.CSG,2015-08-13T21:08:32.507Z,2015-08-05T15:40:00.000Z,2015-08-10T18:13:00.000Z,2015-08-10T00:00:00.000Z,Cool Season Graminoids,N,5.97,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,46,NIWO_063_0046,NEON.hbp.NIWO0630046.20150804.LFB,2015-08-13T21:08:32.507Z,2015-08-05T15:50:00.000Z,2015-08-10T18:07:00.000Z,2015-08-10T00:00:00.000Z,Leguminous Forbs,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,200,NIWO_013_0200,NEON.hbp.NIWO0130200.20150804.BRY,2015-08-13T21:08:32.507Z,2015-08-05T15:40:00.000Z,2015-08-10T18:13:00.000Z,2015-08-10T00:00:00.000Z,Bryophyte,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,46,NIWO_063_0046,NEON.hbp.NIWO0630046.20150804.FRB,2015-08-13T21:08:32.507Z,2015-08-05T15:50:00.000Z,2015-08-10T18:07:00.000Z,2015-08-10T00:00:00.000Z,Non-leguminous Forbs,N,0.22,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,91,NIWO_046_0091,NEON.hbp.NIWO0460091.20150804.WST,2015-08-13T21:08:32.507Z,2015-08-04T17:00:00.000Z,2015-08-10T17:56:00.000Z,2015-08-10T00:00:00.000Z,Woody-stemmed Plants,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,46,NIWO_063_0046,NEON.hbp.NIWO0630046.20150804.CSG,2015-08-13T21:08:32.507Z,2015-08-05T15:50:00.000Z,2015-08-10T18:07:00.000Z,2015-08-10T00:00:00.000Z,Cool Season Graminoids,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,31,91,NA,NEON.hbp.NIWO0460091.20150804.FRB,2015-08-13T21:08:32.507Z,2015-08-04T17:00:00.000Z,2015-08-10T17:56:00.000Z,2015-08-10T00:00:00.000Z,Non-leguminous Forbs,N,3.88,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,46,NIWO_063_0046,NEON.hbp.NIWO0630046.20150804.WSG,2015-08-13T21:08:32.507Z,2015-08-05T15:50:00.000Z,2015-08-10T18:07:00.000Z,2015-08-10T00:00:00.000Z,Warm Season Graminoids,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,91,NIWO_046_0091,NEON.hbp.NIWO0460091.20150804.LFB,2015-08-13T21:08:32.507Z,2015-08-04T17:00:00.000Z,2015-08-10T17:56:00.000Z,2015-08-10T00:00:00.000Z,Leguminous Forbs,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,135,NIWO_023_0135,NEON.hbp.NIWO0230135.20150804.CSG,2015-08-13T21:08:32.507Z,2015-08-05T18:25:00.000Z,2015-08-10T17:10:00.000Z,2015-08-10T00:00:00.000Z,Cool Season Graminoids,N,1.15,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,91,NIWO_046_0091,NEON.hbp.NIWO0460091.20150804.WSG,2015-08-13T21:08:32.507Z,2015-08-04T17:00:00.000Z,2015-08-10T17:56:00.000Z,2015-08-10T00:00:00.000Z,Warm Season Graminoids,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,31,135,NIWO_023_0135,NEON.hbp.NIWO0230135.20150804.WSG,2015-08-13T21:08:32.507Z,2015-08-05T18:25:00.000Z,2015-08-10T17:10:00.000Z,2015-08-10T00:00:00.000Z,Warm Season Graminoids,N,0,jjensen@field-ops.org,jjensen@field-ops.org,NA,NA
NA,NA,NA,NA,91,NIWO_046_0091,NEON.hbp.NIWO0460091.20150804.CSG,2015-08-13T21:08:32.507Z,2015-08-04T17:00:00.000Z,2015-08-10T17:56:00.000Z,2015-08-10T00:00:00.000Z,Cool Season Graminoids,N,0.47,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,46,NIWO_063_0046,NEON.hbp.NIWO0630046.20150804.WST,2015-08-13T21:08:32.507Z,2015-08-05T15:50:00.000Z,2015-08-10T18:07:00.000Z,2015-08-10T00:00:00.000Z,Woody-stemmed Plants,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,31,91,NA,NEON.hbp.NIWO0460091.20150804.BRY,2015-08-13T21:08:32.507Z,2015-08-04T17:00:00.000Z,2015-08-10T17:56:00.000Z,2015-08-10T00:00:00.000Z,Bryophyte,N,0.73,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,135,NIWO_023_0135,NEON.hbp.NIWO0230135.20150804.BRY,2015-08-13T21:08:32.507Z,2015-08-05T18:25:00.000Z,2015-08-10T17:10:00.000Z,2015-08-10T00:00:00.000Z,Bryophyte,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,146,NIWO_050_0146,NEON.hbp.NIWO0500146.20150803.FRB,2015-08-14T15:14:27.390Z,2015-08-05T16:15:00.000Z,2015-08-10T18:51:00.000Z,2015-08-10T00:00:00.000Z,Non-leguminous Forbs,N,8.41,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,135,NIWO_023_0135,NEON.hbp.NIWO0230135.20150804.FRB,2015-08-13T21:08:32.507Z,2015-08-05T18:25:00.000Z,2015-08-10T17:10:00.000Z,2015-08-10T00:00:00.000Z,Non-leguminous Forbs,N,9.31,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,146,NIWO_050_0146,NEON.hbp.NIWO0500146.20150803.LFB,2015-08-14T15:14:27.390Z,2015-08-05T16:15:00.000Z,2015-08-10T18:51:00.000Z,2015-08-10T00:00:00.000Z,Leguminous Forbs,N,0.63,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,135,NIWO_023_0135,NEON.hbp.NIWO0230135.20150804.LFB,2015-08-13T21:08:32.507Z,2015-08-05T18:25:00.000Z,2015-08-10T17:10:00.000Z,2015-08-10T00:00:00.000Z,Leguminous Forbs,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,17,NIWO_057_0017,NEON.hbp.NIWO0570017.20150803.BRY,2015-08-14T15:14:27.390Z,2015-08-05T14:27:00.000Z,2015-08-10T19:10:00.000Z,2015-08-10T00:00:00.000Z,Bryophyte,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,135,NIWO_023_0135,NEON.hbp.NIWO0230135.20150804.CSG,2015-08-13T21:08:32.507Z,2015-08-05T18:25:00.000Z,2015-08-10T17:10:00.000Z,2015-08-10T00:00:00.000Z,Cool Season Graminoids,Y,1.17,hdoench@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,146,NIWO_050_0146,NEON.hbp.NIWO0500146.20150803.WST,2015-08-14T15:14:27.390Z,2015-08-05T16:15:00.000Z,2015-08-10T18:51:00.000Z,2015-08-10T00:00:00.000Z,Woody-stemmed Plants,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,135,NIWO_023_0135,NEON.hbp.NIWO0230135.20150804.WST,2015-08-13T21:08:32.507Z,2015-08-05T18:25:00.000Z,2015-08-10T17:10:00.000Z,2015-08-10T00:00:00.000Z,Woody-stemmed Plants,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,54,NIWO_040_0054,NEON.hbp.NIWO0400054.20150803.BRY,2015-08-13T21:08:32.507Z,2015-08-05T16:16:00.000Z,2015-08-10T18:09:00.000Z,2015-08-10T00:00:00.000Z,Bryophyte,N,0.4,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,17,NIWO_057_0017,NEON.hbp.NIWO0570017.20150803.WSG,2015-08-14T15:14:27.390Z,2015-08-05T14:27:00.000Z,2015-08-10T19:10:00.000Z,2015-08-10T00:00:00.000Z,Warm Season Graminoids,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,135,NIWO_023_0135,NEON.hbp.NIWO0230135.20150804.FRB,2015-08-13T21:08:32.507Z,2015-08-05T18:25:00.000Z,2015-08-10T17:10:00.000Z,2015-08-10T00:00:00.000Z,Non-leguminous Forbs,Y,9.31,hdoench@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,17,NIWO_057_0017,NEON.hbp.NIWO0570017.20150803.CSG,2015-08-14T15:14:27.390Z,2015-08-05T14:27:00.000Z,2015-08-10T19:10:00.000Z,2015-08-10T00:00:00.000Z,Cool Season Graminoids,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,54,NIWO_040_0054,NEON.hbp.NIWO0400054.20150803.WSG,2015-08-13T21:08:32.507Z,2015-08-05T16:16:00.000Z,2015-08-10T18:09:00.000Z,2015-08-10T00:00:00.000Z,Warm Season Graminoids,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,17,NIWO_057_0017,NEON.hbp.NIWO0570017.20150803.FRB,2015-08-14T15:14:27.390Z,2015-08-05T14:27:00.000Z,2015-08-10T19:10:00.000Z,2015-08-10T00:00:00.000Z,Non-leguminous Forbs,N,1.22,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,54,NIWO_040_0054,NEON.hbp.NIWO0400054.20150803.CSG,2015-08-13T21:08:32.507Z,2015-08-05T16:16:00.000Z,2015-08-10T18:09:00.000Z,2015-08-10T00:00:00.000Z,Cool Season Graminoids,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,17,NIWO_057_0017,NEON.hbp.NIWO0570017.20150803.LFB,2015-08-14T15:14:27.390Z,2015-08-05T14:27:00.000Z,2015-08-10T19:10:00.000Z,2015-08-10T00:00:00.000Z,Leguminous Forbs,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,54,NIWO_040_0054,NEON.hbp.NIWO0400054.20150803.FRB,2015-08-13T21:08:32.507Z,2015-08-05T16:16:00.000Z,2015-08-10T18:09:00.000Z,2015-08-10T00:00:00.000Z,Non-leguminous Forbs,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,174,NIWO_067_0174,NEON.hbp.NIWO0670174.20150803.WSG,2015-08-14T15:14:27.390Z,2015-08-05T16:49:00.000Z,2015-08-10T18:44:00.000Z,2015-08-10T00:00:00.000Z,Warm Season Graminoids,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,54,NIWO_040_0054,NEON.hbp.NIWO0400054.20150803.LFB,2015-08-13T21:08:32.507Z,2015-08-05T16:16:00.000Z,2015-08-10T18:09:00.000Z,2015-08-10T00:00:00.000Z,Leguminous Forbs,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,174,NIWO_067_0174,NEON.hbp.NIWO0670174.20150803.CSG,2015-08-14T15:14:27.390Z,2015-08-05T16:49:00.000Z,2015-08-10T18:44:00.000Z,2015-08-10T00:00:00.000Z,Cool Season Graminoids,N,0.93,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,174,NIWO_067_0174,NEON.hbp.NIWO0670174.20150803.FRB,2015-08-14T15:14:27.390Z,2015-08-05T16:49:00.000Z,2015-08-10T18:44:00.000Z,2015-08-10T00:00:00.000Z,Non-leguminous Forbs,N,4.1,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,194,NIWO_018_0194,NEON.hbp.NIWO0180194.20150804.BRY,2015-08-13T21:08:32.507Z,2015-08-05T16:30:00.000Z,2015-08-10T18:02:00.000Z,2015-08-10T00:00:00.000Z,Bryophyte,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,54,NIWO_040_0054,NEON.hbp.NIWO0400054.20150803.WST,2015-08-13T21:08:32.507Z,2015-08-05T16:16:00.000Z,2015-08-10T18:09:00.000Z,2015-08-10T00:00:00.000Z,Woody-stemmed Plants,N,1.25,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,174,NIWO_067_0174,NEON.hbp.NIWO0670174.20150803.LFB,2015-08-14T15:14:27.390Z,2015-08-05T16:49:00.000Z,2015-08-10T18:44:00.000Z,2015-08-10T00:00:00.000Z,Leguminous Forbs,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
