mortonOrder,plotID,siteID,nlcdClass,plotType,subtype,applicableModules,notes,annualTowerVst
84377,BONA_089,BONA,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst,,
73369,BONA_093,BONA,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst,,
1956,DEJU_049,DEJU,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst,,Y
2340,DEJU_050,DEJU,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst,,Y
3812,DEJU_051,DEJU,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst,,
4132,DEJU_052,DEJU,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst,,
4756,DEJU_053,DEJU,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst,,
4820,DEJU_054,DEJU,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst,,
4836,DEJU_055,DEJU,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst,,
5156,DEJU_056,DEJU,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst,,
5220,DEJU_057,DEJU,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst,,
5860,DEJU_058,DEJU,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst,,
6436,DEJU_059,DEJU,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst,,
6884,DEJU_060,DEJU,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst,,
8164,DEJU_061,DEJU,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst,,
9508,DEJU_062,DEJU,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst,,
9956,DEJU_063,DEJU,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst,,
10532,DEJU_064,DEJU,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst,,
29,HEAL_002,HEAL,dwarfScrub,distributed,birdGrid,brd,,NA
29,HEAL_002,HEAL,dwarfScrub,distributed,mammalGrid,,,NA
41,HEAL_003,HEAL,dwarfScrub,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst,,NA
93,HEAL_004,HEAL,shrubScrub,distributed,basePlot,all|bgc|cdw|cfc|dhp|div|hbp|sme|vst,,NA
884,TOOL_071,TOOL,dwarfScrub,distributed,basePlot,all|bet|brd|div,,NA
884,TOOL_071,TOOL,dwarfScrub,distributed,tickPlot,tck,,NA
884,TOOL_071,TOOL,dwarfScrub,distributed,mammalGrid,mam,,NA
884,TOOL_071,TOOL,dwarfScrub,distributed,birdGrid,,,NA
2348,TOOL_072,TOOL,dwarfScrub,distributed,basePlot,all|bet,,NA
2704,TOOL_073,TOOL,sedgeHerbaceous,distributed,basePlot,all|bet,,NA
2704,TOOL_073,TOOL,sedgeHerbaceous,distributed,birdGrid,,,NA
2704,TOOL_073,TOOL,sedgeHerbaceous,distributed,mammalGrid,mam,,NA
7824,TOOL_074,TOOL,shrubScrub,distributed,basePlot,all|bet,,NA
7824,TOOL_074,TOOL,shrubScrub,distributed,tickPlot,,,NA
10156,TOOL_075,TOOL,dwarfScrub,distributed,birdGrid,,,NA
5684,TOOL_076,TOOL,dwarfScrub,distributed,mammalGrid,mam,,NA
8364,TOOL_077,TOOL,sedgeHerbaceous,distributed,mammalGrid,mam,,NA
9648,TOOL_078,TOOL,shrubScrub,distributed,mammalGrid,mam,,NA
10412,TOOL_079,TOOL,dwarfScrub,distributed,mosquitoPoint,mos|mpt,,NA
11436,TOOL_080,TOOL,dwarfScrub,distributed,mosquitoPoint,mos|mpt,,NA
15512,TOOL_081,TOOL,sedgeHerbaceous,distributed,mosquitoPoint,mos|mpt,,NA
19428,TOOL_082,TOOL,dwarfScrub,distributed,mosquitoPoint,mos|mpt,,NA
34260,TOOL_083,TOOL,dwarfScrub,distributed,mosquitoPoint,mos|mpt,,NA
74440,TOOL_084,TOOL,,tower,phenology,phe,,NA
744152,TOOL_085,TOOL,,tower,phenology,phe,,NA
1364,TOOL_086,TOOL,shrubScrub,distributed,basePlot,all|div,,NA
18128,TOOL_087,TOOL,sedgeHerbaceous,distributed,mosquitoPoint,mos|mpt,,NA
16280,TOOL_088,TOOL,shrubScrub,distributed,mosquitoPoint,mos|mpt,,NA
11352,TOOL_089,TOOL,shrubScrub,distributed,mosquitoPoint,mos|mpt,,NA
3700,TOOL_090,TOOL,dwarfScrub,distributed,basePlot,,,NA
25,WOOD_001,WOOD,grasslandHerbaceous,distributed,basePlot,all|bet|bgc|cdw|cfc|dhp|div|hbp|sme|vst,,NA
25,WOOD_001,WOOD,grasslandHerbaceous,distributed,mammalGrid,,,NA
25,WOOD_001,WOOD,grasslandHerbaceous,distributed,tickPlot,tck,,NA
49,WOOD_002,WOOD,grasslandHerbaceous,distributed,basePlot,all|bet|bgc|cdw|cfc|dhp|div|hbp|sme|vst,,NA
49,WOOD_002,WOOD,grasslandHerbaceous,distributed,mammalGrid,mam,,NA
49,WOOD_002,WOOD,grasslandHerbaceous,distributed,tickPlot,tck,,NA
51,WOOD_003,WOOD,grasslandHerbaceous,distributed,basePlot,all|bet|bgc|cdw|cfc|dhp|div|hbp|sme|vst,,NA
51,WOOD_003,WOOD,grasslandHerbaceous,distributed,mammalGrid,mam,,NA
137,WOOD_004,WOOD,grasslandHerbaceous,distributed,basePlot,all|bet|bgc|cdw|cfc|dhp|div|hbp|sme|vst,,NA
149,WOOD_005,WOOD,grasslandHerbaceous,distributed,basePlot,all|bet|bgc|cdw|cfc|dhp|div|hbp|sme|vst,,NA
165,WOOD_006,WOOD,grasslandHerbaceous,distributed,basePlot,all|bet|cdw|cfc|dhp|div|hbp|vst,,NA
165,WOOD_006,WOOD,grasslandHerbaceous,distributed,birdGrid,brd,,NA
165,WOOD_006,WOOD,grasslandHerbaceous,distributed,mammalGrid,,,NA
165,WOOD_006,WOOD,grasslandHerbaceous,distributed,tickPlot,tck,,NA
169,WOOD_007,WOOD,grasslandHerbaceous,distributed,basePlot,all|bet|cdw|cfc|dhp|div|hbp|vst,,NA
169,WOOD_007,WOOD,grasslandHerbaceous,distributed,tickPlot,tck,,NA
169,WOOD_007,WOOD,grasslandHerbaceous,distributed,mammalGrid,mam,,NA
234,WOOD_008,WOOD,grasslandHerbaceous,distributed,basePlot,all|bet|cdw|cfc|dhp|div|hbp|vst,,NA
234,WOOD_008,WOOD,grasslandHerbaceous,distributed,birdGrid,brd,,NA
234,WOOD_008,WOOD,grasslandHerbaceous,distributed,mammalGrid,mam,,NA
257,WOOD_009,WOOD,grasslandHerbaceous,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst,,NA
257,WOOD_009,WOOD,grasslandHerbaceous,distributed,birdGrid,brd,,NA
257,WOOD_009,WOOD,grasslandHerbaceous,distributed,mammalGrid,mam,,NA
257,WOOD_009,WOOD,grasslandHerbaceous,distributed,tickPlot,tck,,NA
273,WOOD_010,WOOD,grasslandHerbaceous,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst,,NA
273,WOOD_010,WOOD,grasslandHerbaceous,distributed,mammalGrid,mam,,NA
281,WOOD_011,WOOD,grasslandHerbaceous,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst,,NA
281,WOOD_011,WOOD,grasslandHerbaceous,distributed,birdGrid,brd,,NA
281,WOOD_011,WOOD,grasslandHerbaceous,distributed,mammalGrid,,,NA
285,WOOD_012,WOOD,grasslandHerbaceous,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst,,NA
285,WOOD_012,WOOD,grasslandHerbaceous,distributed,birdGrid,brd,,NA
289,WOOD_013,WOOD,grasslandHerbaceous,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst,,NA
289,WOOD_013,WOOD,grasslandHerbaceous,distributed,birdGrid,brd,,NA
289,WOOD_013,WOOD,grasslandHerbaceous,distributed,mammalGrid,,,NA
305,WOOD_014,WOOD,grasslandHerbaceous,distributed,basePlot,all|cdw|dhp|div|hbp|vst,,NA
337,WOOD_015,WOOD,grasslandHerbaceous,distributed,basePlot,all|cdw|dhp|div|hbp|vst,,NA
337,WOOD_015,WOOD,grasslandHerbaceous,distributed,mammalGrid,,,NA
417,WOOD_016,WOOD,grasslandHerbaceous,distributed,basePlot,all|cdw|dhp|div|hbp|vst,,NA
425,WOOD_017,WOOD,grasslandHerbaceous,distributed,basePlot,all|div,,NA
426,WOOD_018,WOOD,grasslandHerbaceous,distributed,basePlot,all|div,,NA
449,WOOD_019,WOOD,grasslandHerbaceous,distributed,basePlot,all|div,,NA
485,WOOD_020,WOOD,grasslandHerbaceous,distributed,basePlot,all|div,,NA
485,WOOD_020,WOOD,grasslandHerbaceous,distributed,birdGrid,brd,,NA
1045,WOOD_021,WOOD,emergentHerbaceousWetlands,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst,,NA
1093,WOOD_022,WOOD,emergentHerbaceousWetlands,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst,,NA
1113,WOOD_023,WOOD,emergentHerbaceousWetlands,distributed,basePlot,all|bet|cdw|dhp|div|hbp|vst,,NA
1285,WOOD_024,WOOD,emergentHerbaceousWetlands,distributed,basePlot,all|bgc|cfc|cdw|dhp|div|hbp|sme|vst,,NA
1285,WOOD_024,WOOD,emergentHerbaceousWetlands,distributed,tickPlot,tck,,NA
1429,WOOD_025,WOOD,emergentHerbaceousWetlands,distributed,basePlot,all|div,,NA
5013,WOOD_026,WOOD,emergentHerbaceousWetlands,distributed,basePlot,all|div,,NA
1621,WOOD_027,WOOD,emergentHerbaceousWetlands,distributed,basePlot,all|div,,NA
5157,WOOD_028,WOOD,emergentHerbaceousWetlands,distributed,basePlot,all|bet|div,,NA
1725,WOOD_029,WOOD,emergentHerbaceousWetlands,distributed,basePlot,all|div,,NA
1725,WOOD_029,WOOD,emergentHerbaceousWetlands,distributed,birdGrid,brd,,NA
2929,WOOD_030,WOOD,emergentHerbaceousWetlands,distributed,basePlot,all|div,,NA
405,WOOD_031,WOOD,emergentHerbaceousWetlands,distributed,birdGrid,brd,,NA
499,WOOD_032,WOOD,grasslandHerbaceous,distributed,mosquitoPoint,mos|mpt,,NA
4159,WOOD_033,WOOD,grasslandHerbaceous,distributed,mosquitoPoint,mos|mpt,,NA
4919,WOOD_034,WOOD,grasslandHerbaceous,distributed,mosquitoPoint,mos|mpt,,NA
1467,WOOD_035,WOOD,grasslandHerbaceous,distributed,mosquitoPoint,mos|mpt,,NA
2155,WOOD_036,WOOD,grasslandHerbaceous,distributed,mosquitoPoint,mos|mpt,,NA
2707,WOOD_037,WOOD,grasslandHerbaceous,distributed,mosquitoPoint,mos|mpt,,NA
6620,WOOD_038,WOOD,grasslandHerbaceous,distributed,mosquitoPoint,mos|mpt,,NA
3447,WOOD_039,WOOD,grasslandHerbaceous,distributed,mosquitoPoint,mos|mpt,,NA
3679,WOOD_040,WOOD,grasslandHerbaceous,distributed,mosquitoPoint,mos|mpt,,NA
4003,WOOD_041,WOOD,grasslandHerbaceous,distributed,mosquitoPoint,mos|mpt,,NA
297,WOOD_042,WOOD,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|ltr|sme|vst,,
925,WOOD_043,WOOD,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|ltr|sme|vst,,
1181,WOOD_044,WOOD,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|ltr|sme|vst,,
1321,WOOD_045,WOOD,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|ltr|sme|vst,,
1833,WOOD_046,WOOD,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst,,
1949,WOOD_047,WOOD,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst,,
2205,WOOD_048,WOOD,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst,,
2973,WOOD_049,WOOD,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst,,
3997,WOOD_050,WOOD,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst,,
4393,WOOD_051,WOOD,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst,,
4765,WOOD_052,WOOD,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst,,
5277,WOOD_053,WOOD,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst,,
7677,WOOD_054,WOOD,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst,,
8093,WOOD_055,WOOD,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst,,
9929,WOOD_056,WOOD,,tower,basePlot,all|bbc|cdw|dhp|ltr|vst,,
10025,WOOD_057,WOOD,,tower,basePlot,all|bbc|cdw|dhp|ltr|vst,,
12445,WOOD_058,WOOD,,tower,basePlot,all|bbc|cdw|dhp|ltr|vst,,
12957,WOOD_059,WOOD,,tower,basePlot,all|bbc|cdw|dhp|ltr|vst,,
13213,WOOD_060,WOOD,,tower,basePlot,all|bbc|cdw|dhp|ltr|vst,,
13609,WOOD_061,WOOD,,tower,basePlot,all|bbc|cdw|dhp|ltr|vst,,
14237,WOOD_062,WOOD,,tower,basePlot,all|bbc|cdw|dhp|ltr|vst,,
15005,WOOD_063,WOOD,,tower,basePlot,all|bbc|cdw|dhp|ltr|vst,,
19613,WOOD_064,WOOD,,tower,basePlot,all|bbc|cdw|dhp|ltr|vst,,
21801,WOOD_065,WOOD,,tower,basePlot,all|bbc|cdw|dhp|ltr|vst,,
23453,WOOD_066,WOOD,,tower,basePlot,all|bbc|cdw|dhp|ltr|vst,,
25501,WOOD_067,WOOD,,tower,basePlot,all|bbc|cdw|dhp|ltr|vst,,
25757,WOOD_068,WOOD,,tower,basePlot,all|bbc|cdw|dhp|ltr|vst,,
26781,WOOD_069,WOOD,,tower,basePlot,all|bbc|cdw|dhp|ltr|vst,,
28969,WOOD_070,WOOD,,tower,basePlot,all|bbc|cdw|dhp|ltr|vst,,
30505,WOOD_071,WOOD,,tower,basePlot,all|bbc|cdw|dhp|ltr|vst,,
42281,WOOD_072,WOOD,,tower,basePlot,,,
21149,WOOD_073,WOOD,,tower,phenology,,,NA
55197,WOOD_074,WOOD,,tower,phenology,phe,,NA
318,SJER_012,SJER,grasslandHerbaceous,distributed,mammalGrid,mam,,NA
0,ABBY_001,ABBY,evergreenForest,distributed,basePlot,all|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst,,NA
0,ABBY_001,ABBY,evergreenForest,distributed,tickPlot,tck,,NA
1,ABBY_002,ABBY,grasslandHerbaceous,distributed,tickPlot,tck,,NA
1,ABBY_002,ABBY,grasslandHerbaceous,distributed,mammalGrid,mam,,NA
1,ABBY_002,ABBY,grasslandHerbaceous,distributed,basePlot,all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst,,NA
4,ABBY_003,ABBY,evergreenForest,distributed,basePlot,all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst,,NA
4,ABBY_003,ABBY,evergreenForest,distributed,mammalGrid,,,NA
4,ABBY_003,ABBY,evergreenForest,distributed,tickPlot,tck,,NA
5,ABBY_004,ABBY,shrubScrub,distributed,mammalGrid,mam,,NA
5,ABBY_004,ABBY,shrubScrub,distributed,basePlot,all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst,,NA
12,ABBY_005,ABBY,shrubScrub,distributed,tickPlot,tck,,NA
12,ABBY_005,ABBY,shrubScrub,distributed,basePlot,all|brd|cdw|cfc|dhp|div|hbp|vst,,NA
17,ABBY_006,ABBY,evergreenForest,distributed,basePlot,all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst,,NA
17,ABBY_006,ABBY,evergreenForest,distributed,tickPlot,tck,,NA
28,ABBY_007,ABBY,evergreenForest,distributed,mammalGrid,mam,,NA
28,ABBY_007,ABBY,evergreenForest,distributed,basePlot,all|bet|brd|cdw|cfc|dhp|div|hbp|vst,,NA
64,ABBY_008,ABBY,evergreenForest,distributed,basePlot,all|bet|brd|cdw|cfc|dhp|div|hbp|vst,,NA
81,ABBY_009,ABBY,shrubScrub,distributed,basePlot,all|bet|brd|cdw|cfc|dhp|div|hbp|vst,,NA
92,ABBY_010,ABBY,evergreenForest,distributed,mammalGrid,mam,,NA
92,ABBY_010,ABBY,evergreenForest,distributed,basePlot,all|bet|brd|cdw|cfc|dhp|div|hbp|vst,,NA
104,ABBY_011,ABBY,grasslandHerbaceous,distributed,mammalGrid,,,NA
104,ABBY_011,ABBY,grasslandHerbaceous,distributed,basePlot,all|bet|brd|cdw|cfc|dhp|div|hbp|vst,,NA
132,ABBY_012,ABBY,shrubScrub,distributed,basePlot,all|brd|cdw|cfc|dhp|div|hbp|vst,,NA
148,ABBY_013,ABBY,grasslandHerbaceous,distributed,basePlot,all|brd|cdw|cfc|dhp|div|hbp|vst,,NA
152,ABBY_014,ABBY,evergreenForest,distributed,basePlot,all|brd|cdw|cfc|dhp|div|hbp|vst,,NA
152,ABBY_014,ABBY,evergreenForest,distributed,mammalGrid,mam,,NA
257,ABBY_015,ABBY,shrubScrub,distributed,basePlot,all|div,,NA
264,ABBY_016,ABBY,evergreenForest,distributed,basePlot,all|brd|cdw|cfc|dhp|div|hbp|vst,,NA
284,ABBY_017,ABBY,evergreenForest,distributed,basePlot,all|brd|cdw|cfc|dhp|div|hbp|vst,,NA
292,ABBY_018,ABBY,grasslandHerbaceous,distributed,basePlot,all|brd|cdw|cfc|dhp|div|hbp|vst,,NA
344,ABBY_019,ABBY,evergreenForest,distributed,basePlot,all|brd|cdw|cfc|dhp|div|hbp|vst,,NA
389,ABBY_020,ABBY,evergreenForest,distributed,basePlot,all|brd|div,,NA
392,ABBY_021,ABBY,grasslandHerbaceous,distributed,basePlot,all|div,,NA
408,ABBY_022,ABBY,grasslandHerbaceous,distributed,basePlot,all|div,,NA
468,ABBY_023,ABBY,mixedForest,distributed,mammalGrid,mam,,NA
468,ABBY_023,ABBY,mixedForest,distributed,basePlot,all|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst,,NA
468,ABBY_023,ABBY,mixedForest,distributed,tickPlot,tck,,NA
552,ABBY_024,ABBY,grasslandHerbaceous,distributed,basePlot,all|div,,NA
592,ABBY_025,ABBY,mixedForest,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst,,NA
780,ABBY_026,ABBY,shrubScrub,distributed,basePlot,all|div,,NA
837,ABBY_027,ABBY,shrubScrub,distributed,basePlot,all|div,,NA
1236,ABBY_028,ABBY,mixedForest,distributed,basePlot,all|bet|div,,NA
2776,ABBY_029,ABBY,mixedForest,distributed,basePlot,all|div,,NA
2832,ABBY_030,ABBY,mixedForest,distributed,basePlot,all|div,,NA
136,ABBY_031,ABBY,evergreenForest,distributed,mosquitoPoint,mos|mpt,,NA
324,ABBY_032,ABBY,evergreenForest,distributed,mosquitoPoint,mos|mpt,,NA
540,ABBY_033,ABBY,mixedForest,distributed,mosquitoPoint,mos|mpt,,NA
548,ABBY_034,ABBY,evergreenForest,distributed,mosquitoPoint,mos|mpt,,NA
657,ABBY_035,ABBY,grasslandHerbaceous,distributed,mosquitoPoint,mos|mpt,,NA
961,ABBY_036,ABBY,evergreenForest,distributed,mosquitoPoint,mos|mpt,,NA
1208,ABBY_037,ABBY,evergreenForest,distributed,mosquitoPoint,mos|mpt,,NA
3652,ABBY_038,ABBY,grasslandHerbaceous,distributed,mosquitoPoint,mos|mpt,,NA
4683,ABBY_039,ABBY,shrubScrub,distributed,mosquitoPoint,mos|mpt,,NA
4892,ABBY_040,ABBY,shrubScrub,distributed,mosquitoPoint,mos|mpt,,NA
49782,ABBY_061,ABBY,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst,,Y
168566,ABBY_062,ABBY,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,,Y
180854,ABBY_063,ABBY,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst,,Y
410230,ABBY_064,ABBY,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst,,
549494,ABBY_065,ABBY,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst,,
938614,ABBY_066,ABBY,,tower,basePlot,,,
1163894,ABBY_067,ABBY,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst,,
3162742,ABBY_068,ABBY,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst,,
3228278,ABBY_069,ABBY,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst,,
3588726,ABBY_070,ABBY,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst,,Y
82550,ABBY_071,ABBY,,tower,phenology,phe,,NA
1725046,ABBY_072,ABBY,,tower,phenology,phe,,NA
166518,ABBY_073,ABBY,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst,,Y
555638,ABBY_074,ABBY,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst,,
752246,ABBY_075,ABBY,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst,,
1331830,ABBY_076,ABBY,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst,,
19,BART_001,BART,mixedForest,distributed,mammalGrid,mam,,NA
19,BART_001,BART,mixedForest,distributed,tickPlot,,,NA
19,BART_001,BART,mixedForest,distributed,basePlot,all|bgc|cdw|cfc|dhp|div|hbp|sme|vst,,NA
36,BART_002,BART,deciduousForest,distributed,basePlot,all|bet|bgc|cdw|cfc|dhp|div|hbp|sme|vst,,NA
36,BART_002,BART,deciduousForest,distributed,tickPlot,tck,,NA
38,BART_003,BART,deciduousForest,distributed,birdGrid,brd,,NA
38,BART_003,BART,deciduousForest,distributed,tickPlot,,,NA
38,BART_003,BART,deciduousForest,distributed,basePlot,all|bgc|cdw|cfc|dhp|div|hbp|sme|vst,,NA
57,BART_004,BART,mixedForest,distributed,birdGrid,brd,,NA
57,BART_004,BART,mixedForest,distributed,basePlot,all|bgc|cdw|cfc|dhp|div|hbp|sme|vst,,NA
71,BART_005,BART,mixedForest,distributed,basePlot,all|bgc|cdw|cfc|dhp|div|hbp|sme|vst,,NA
79,BART_006,BART,deciduousForest,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst,,NA
87,BART_007,BART,mixedForest,distributed,mammalGrid,mam,,NA
87,BART_007,BART,mixedForest,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst,,NA
102,BART_008,BART,mixedForest,distributed,basePlot,,,NA
103,BART_009,BART,deciduousForest,distributed,basePlot,,,NA
103,BART_009,BART,deciduousForest,distributed,birdGrid,brd,,NA
118,BART_010,BART,deciduousForest,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst,,NA
118,BART_010,BART,deciduousForest,distributed,tickPlot,tck,,NA
151,BART_011,BART,mixedForest,distributed,tickPlot,tck,,NA
151,BART_011,BART,mixedForest,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst,,NA
163,BART_012,BART,deciduousForest,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst,,NA
163,BART_012,BART,deciduousForest,distributed,birdGrid,brd,,NA
163,BART_012,BART,deciduousForest,distributed,mammalGrid,mam,,NA
164,BART_013,BART,deciduousForest,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst,,NA
179,BART_014,BART,deciduousForest,distributed,basePlot,,,NA
198,BART_015,BART,mixedForest,distributed,birdGrid,brd,,NA
198,BART_015,BART,mixedForest,distributed,mammalGrid,mam,,NA
198,BART_015,BART,mixedForest,distributed,tickPlot,tck,,NA
198,BART_015,BART,mixedForest,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst,,NA
199,BART_016,BART,mixedForest,distributed,birdGrid,brd,,NA
199,BART_016,BART,mixedForest,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst,,NA
211,BART_017,BART,deciduousForest,distributed,basePlot,,,NA
214,BART_018,BART,mixedForest,distributed,birdGrid,brd,,NA
214,BART_018,BART,mixedForest,distributed,basePlot,all|bet|cdw|cfc|dhp|div|hbp|vst,,NA
283,BART_019,BART,mixedForest,distributed,tickPlot,tck,,NA
283,BART_019,BART,mixedForest,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst,,NA
313,BART_021,BART,mixedForest,distributed,basePlot,,,NA
315,BART_022,BART,mixedForest,distributed,birdGrid,,,NA
315,BART_022,BART,mixedForest,distributed,basePlot,,,NA
374,BART_023,BART,evergreenForest,distributed,basePlot,all|bgc|cdw|cfc|dhp|div|hbp|sme|vst,,NA
550,BART_024,BART,evergreenForest,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst,,NA
591,BART_025,BART,evergreenForest,distributed,basePlot,all|bet|cdw|cfc|dhp|div|hbp|vst,,NA
591,BART_025,BART,evergreenForest,distributed,birdGrid,brd,,NA
1359,BART_026,BART,evergreenForest,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst,,NA
4070,BART_027,BART,evergreenForest,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst,,NA
4467,BART_028,BART,evergreenForest,distributed,basePlot,all|bet|div,,NA
5255,BART_029,BART,evergreenForest,distributed,basePlot,all|div,,NA
5255,BART_029,BART,evergreenForest,distributed,tickPlot,tck,,NA
14707,BART_030,BART,evergreenForest,distributed,basePlot,all|div,,NA
17459,BART_031,BART,evergreenForest,distributed,basePlot,all|bet|div,,NA
75,BART_032,BART,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|vst,,
267,BART_033,BART,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|vst,,
331,BART_034,BART,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|vst,,
651,BART_036,BART,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst,,Y
779,BART_037,BART,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|vst,,
1163,BART_039,BART,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|vst,,
2043,BART_040,BART,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst,,Y
2379,BART_041,BART,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|vst,,
2443,BART_042,BART,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,,Y
2827,BART_044,BART,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst,,
3467,BART_046,BART,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst,,
3659,BART_047,BART,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst,,
20875,BART_050,BART,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst,,
40587,BART_051,BART,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|vst,,
3147,BART_052,BART,,tower,phenology,,,NA
15435,BART_053,BART,,tower,phenology,phe,,NA
86,BART_054,BART,deciduousForest,distributed,mosquitoPoint,mos|mpt,,NA
231,BART_055,BART,deciduousForest,distributed,mosquitoPoint,mos|mpt,,NA
531,BART_056,BART,deciduousForest,distributed,mosquitoPoint,mos|mpt,,NA
719,BART_057,BART,mixedForest,distributed,mosquitoPoint,mos|mpt,,NA
1415,BART_058,BART,evergreenForest,distributed,mosquitoPoint,mos|mpt,,NA
2006,BART_059,BART,mixedForest,distributed,mosquitoPoint,mos|mpt,,NA
