field_domain_id,field_site_id,field_site_name,field_site_type,field_site_subtype,field_colocated_site,field_site_host,field_site_url,field_nonneon_research_allowed,field_latitude,field_longitude,field_geodetic_datum,field_utm_northing,field_utm_easting,field_utm_zone,field_site_county,field_site_state,field_site_country,field_mean_evelation_m,field_minimum_elevation_m,field_maximum_elevation_m,field_mean_annual_temperature_C,field_mean_annual_precipitation_mm,field_dominant_wind_direction,field_mean_canopy_height_m,field_dominant_nlcd_classes,field_dominant_plant_species,field_usgs_huc,field_watership_name,field_watership_size_km2,field_lake_depth_mean_m,field_lake_depth_max_m,field_tower_height_m,field_megapit_soil_family,field_soil_subgroup,field_avg_number_of_green_days,field_avg_green_increase_doy,field_avg_green_max_doy,field_avg_green_decrease_doy,field_avg_green_min_doy,field_phenocams,field_number_tower_levels
D07,MLBS,"Mountain Lake Biological Station NEON","Gradient Terrestrial",,,"George Washington and Jefferson National Forest|University of Virginia",https://www.fs.usda.gov/gwj/|https://mlbs.virginia.edu/resapp,Limited|Yes,37.378314,-80.524847,WGS84,4136943.44,542067.6400,17N,Giles,VA,US,1170,752,1320,8.8°C,1227,WNW,18.0,"Deciduous Forest",,,,,,,29,"Coarse-loamy - siliceous - semiactive - frigid Fluvaquents",Fluvaquents,200,110,160,220,310,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D07.MLBS.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D07.MLBS.DP1.00042/",6
D13,MOAB,"Moab NEON","Gradient Terrestrial",,,"Bureau of Land Management",https://www.blm.gov/office/moab-field-office,Yes,38.248283,-109.38827,WGS84,4234596.51,641031.4708,12N,"San Juan",UT,US,1799,1722,2039,10.1°C,319,SSW,0.2,"Evergreen Forest|Shrub/Scrub",,,,,,,8,"Coarse-loamy - mixed - superactive - mesic Ustic Haplocalcids","Ustic Haplocalcids",215,85,165,225,300,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D13.MOAB.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D13.MOAB.DP1.00042/",4
D13,NIWO,"Niwot Ridge NEON","Core Terrestrial",,COMO,"US Forest Service, University of Colorado-Boulder",,Yes,40.05425,-105.58237,WGS84,4433940.92,450328.2848,13N,Boulder,CO,US,3490,2975,3583,0.3°C,1005,WNW,0.2,"Evergreen Forest|Grassland/Herbaceous",,,,,,,8,"Coarse-loamy - mixed - superactive Typic Haplocryolls","Typic Haplocryolls",130,140,190,220,270,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D13.NIWO.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D13.NIWO.DP1.00042/",4
D09,NOGP,"Northern Great Plains Research Laboratory NEON","Gradient Terrestrial",,,"USDA Agricultural Research Service",https://www.ars.usda.gov/plains-area/mandan-nd/ngprl/,Yes,46.76972,-100.91535,WGS84,5181355.71,353761.6032,14N,Morton,ND,US,589,517,592,5.9°C,457,NNE,0.4,Grassland/Herbaceous,,,,,,,8,"Fine-loamy - mixed - superactive - frigid Typic Argiustolls","Typic Argiustolls",175,115,170,200,290,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D09.NOGP.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D09.NOGP.DP1.00042/",4
D11,OAES,"Marvin Klemme Range Research Station NEON","Gradient Terrestrial",,,"Oklahoma State University",http://oaes.okstate.edu/,Limited,35.410599,-99.058779,WGS84,3918579.07,494662.2504,14N,Washita,OK,US,519,487,531,15.5°C,779,SE,1.0,Grassland/Herbaceous|Shrub/Scrub,,,,,,,8,"Loamy - mixed - active - thermic Lithic Haplustepts","Lithic Haplustepts",240,70,135,165,225|310,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D11.OAES.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D11.OAES.DP1.00042/",4
D18,OKSR,"Oksrukuyik Creek NEON","Core Aquatic","Wadeable Stream",TOOL,"Bureau of Land Management",https://www.blm.gov/office/fairbanks-district-office,Yes,68.669753,-149.14302,WGS84,413022.17,7619054.1860,6N,"North Slope",AK,US,766,,,-9.0°C,316,,,Shrub/Scrub,,[h19060402](https://water.usgs.gov/lookup/getwatershed?19060402),"Sagavanirktok River",57.8,,,,,,,,,,,,
D15,ONAQ,"Onaqui NEON","Core Terrestrial",,,"Bureau of Land Management",https://www.blm.gov/office/salt-lake-field-office,Limited,40.177599,-112.45245,WGS84,4448479.61,376339.6859,12N,Tooele,UT,US,1662,1599,2061,9.0°C,288,SW,1.2,"Evergreen Forest|Shrub/Scrub",,,,,,,8,"Fine-loamy - mixed - superactive - mesic Xeric Haplocalcids","Xeric Haplocalcids",205,75,130,170,280,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D15.ONAQ.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D15.ONAQ.DP1.00042/",4
D07,ORNL,"Oak Ridge NEON","Core Terrestrial",,WALK,"Department of Energy",https://www.ornl.gov/division/esd,"Very Limited",35.964128,-84.282588,WGS84,3983383.09,745052.4354,16N,Anderson,TN,US,344,230,356,14.4°C,1340,WNW,28.0,"Deciduous Forest|Evergreen Forest|Pasture/Hay",,,,,,,39,"Fine - kaolinitic - thermic Typic Paleudults","Typic Paleudults",225,90,140,210,315,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D07.ORNL.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D07.ORNL.DP1.00042/",6
D03,OSBS,"Ordway-Swisher Biological Station NEON","Core Terrestrial",,SUGG|BARC,"University of Florida Foundation",https://ordway-swisher.ufl.edu/ResearchUse.aspx,Yes,29.689282,-81.993431,WGS84,3284767.49,403886.4180,17N,Putnam,FL,US,46,22,49,20.9°C,1302,NE,23.0,"Emergent Herbaceous Wetlands|Evergreen Forest|Woody Wetlands",,,,,,,35,"Hyperthermic - uncoated Typic Quartzipsamments","Typic Quartzipsamments",245,70,150,190,315,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D03.OSBS.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D03.OSBS.DP1.00042/",6
D02,POSE,"Posey Creek NEON","Core Aquatic","Wadeable Stream",SCBI,"Smithsonian Institution",,,38.89431,-78.147258,WGS84,4308808.69,747457.7533,17N,Warren,VA,US,276,,,11.8°C,1090,,,"Deciduous Forest",,[h02070005](https://water.usgs.gov/lookup/getwatershed?02070005),"South Fork Shenandoah",2.0,,,,,,,,,,,"A phenocam is pointed toward the land-water interface of the site.
https://phenocam.nau.edu/webcam/sites/NEON.D02.POSE.DP1.20002/",
D11,PRIN,"Pringle Creek NEON","Core Aquatic","Wadeable Stream",CLBJ,"US Forest Service",https://www.fs.usda.gov/detail/texas/about-forest/districts/?cid=fswdev3_008440,"Very Limited",33.378517,-97.782312,WGS84,3693920.97,613271.5081,14N,Wise,TX,US,253,,,17.5°C,898,,,"Deciduous Forest|Grassland/Herbaceous",,[h12030101](https://water.usgs.gov/lookup/getwatershed?12030101),"Upper West Fork Trinity",48.9,,,,,,,,,,,"A phenocam is pointed toward the land-water interface of the site.
https://phenocam.nau.edu/webcam/sites/NEON.D11.PRIN.DP1.20002/",
D09,PRLA,"Prairie Lake NEON","Gradient Aquatic",Lake,DCFS,"North Dakota Land Trust",https://www.land.nd.gov/,Yes,47.15909,-99.11388,WGS84,5222849.74,491367.9402,14N,Stutsman,ND,US,565,,,4.9°C,490,,,Grassland/Herbaceous,,[h10160002](https://water.usgs.gov/lookup/getwatershed?10160002),Pipestem,3.4,2.1,4.9,,,,,,,,,"A phenocam is pointed toward the land-water interface of the site.
https://phenocam.nau.edu/webcam/sites/NEON.D09.PRLA.DP1.20002/",
D09,PRPO,"Prairie Pothole NEON","Core Aquatic",Lake,WOOD,"US Fish and Wildlife Service",https://www.fws.gov/refuge/chase_lake/,Yes,47.129839,-99.253147,WGS84,5219640.04,480997.9682,14N,Stutsman,ND,US,579,,,4.9°C,494,,,Grassland/Herbaceous,,[h07050002](https://water.usgs.gov/lookup/getwatershed?07050002),Pipestem,2.1,1.7,4.1,,,,,,,,,"A phenocam is pointed toward the land-water interface of the site.
https://phenocam.nau.edu/webcam/sites/NEON.D09.PRPO.DP1.20002/",
D20,PUUM,"Pu'u Maka'ala Natural Area Reserve NEON","Core Terrestrial",,,"Hawaii Forest Department of Land and Natural Resources",https://dlnr.hawaii.gov/ecosystems/nars/permits/,Yes,19.55309,-155.31731,WGS84,2163673.63,256868.7191,5N,Hawaii,HI,US,1685,1034,1877,12.7°C,2657,,20.0,"Evergreen Forest",,,,,,,32,"Medial-skeletal - amorphic - isomesic Typic Hapludands","Typic Hapludands",365,,,,,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D20.PUUM.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D20.PUUM.DP1.00042/",6
D15,REDB,"Red Butte Creek NEON","Core Aquatic","Wadeable Stream",,"US Forest Service, University of Utah",https://www.fs.usda.gov/wps/portal/fsinternet/cs/detail/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8zijQwgwNHCwN_DI8zPyBcqYKAfjlVBmA9cQRQx-g1wAEci9eNREIXf-HD9KKxWIPuAkBle-lHpOflJkOByzEsytkjXjypKTUstSi3SKy0CCmeUlBQUW6kaqBqUl5frpefnp-ek6iXn56oaYNOSkV9coh-BqlK_IDc0NMIgyzSnzMcRAIRE-zk!/dz/d5/L2dBISEvZ0FBIS9nQSEh/?position=Not%20Yet%20Determined.Html&ss=110419&navtype=BROWSEBYSUBJECT&pnavid=170000000000000&navid=170110000000000&ttype=detail&cid=fsem_035528,Limited,40.783934,-111.79789,WGS84,4515056.81,432697.1044,12N,"Salt Lake",UT,US,1694,,,7.7°C,751,,,"Deciduous Forest",,[h16020204](https://water.usgs.gov/lookup/getwatershed?16020204),Jordan,16.7,,,,,,,,,,,"A phenocam is pointed toward the land-water interface of the site.
https://phenocam.nau.edu/webcam/sites/NEON.D15.REDB.DP1.20002/",
D10,RMNP,"Rocky Mountains NEON","Gradient Terrestrial",,,"Roosevelt National Forest|National Park Service",https://www.fs.usda.gov/wps/portal/fsinternet/cs/main/!ut/p/z0/04_Sj9CPykssy0xPLMnMz0vMAfIjo8zijQwgwNHCwN_DI8zPwBcqYKBfkO2oCADIwpjI/?pname=Arapaho/&ss=110210&pnavid=null&navid=091000000000000&ttype=main&cid=null|https://www.nps.gov/romo/index.htm,Yes,40.275903,-105.54596,WGS84,4458524.20,453588.4118,13N,Larimer,CO,US,2742,2454,3042,2.9°C,731,,19.0,"Evergreen Forest",,,,,,,25,"Loamy-skeletal - mixed - superactive Ustic Haplocryolls","Ustic Haplocryolls",165,120,180,210,285,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D10.RMNP.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D10.RMNP.DP1.00042/",5
D02,SCBI,"Smithsonian Conservation Biology Institute NEON","Core Terrestrial",,POSE,"Smithsonian Institution",https://www.si.edu/unit/conservation-biology-institute,Yes,38.892925,-78.139494,WGS84,4308784.08,748090.6473,17N,Warren,VA,US,352,251,571,11.6°C,1126,SSE,35.0,"Deciduous Forest|Evergreen Forest|Pasture/Hay",,,,,,,52,"Loamy-skeletal - mixed - active - mesic Ultic Hapludalfs","Ultic Hapludalfs",245,85,150,220,320,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D02.SCBI.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D02.SCBI.DP1.00042/",6
D02,SERC,"Smithsonian Environmental Research Center NEON","Gradient Terrestrial",,,"Smithsonian Institution",https://serc.si.edu/opportunities,Yes,38.890131,-76.560014,WGS84,4305735.30,364703.6624,18N,"Anne Arundel",MD,US,33,0,43,13.6°C,1075,NNW,38.0,"Cultivated Crops|Deciduous Forest",,,,,,,62,"Fine-loamy - mixed - active - mesic Aquic Hapludults","Aquic Hapludults",245,80,155,220,325,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D02.SERC.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D02.SERC.DP1.00042/",6
D17,SJER,"San Joaquin Experimental Range NEON","Core Terrestrial",,,"US Forest Service",https://www.fs.fed.us/psw/ef/san_joaquin/,Yes,37.10878,-119.73228,WGS84,4110433.94,257213.9752,11N,Madera,CA,US,400,252,502,16.4°C,540,NW,21.0,"Evergreen Forest|Grassland/Herbaceous|Shrub/Scrub",,,,,,,39,"Mixed - thermic Psammentic Haploxerolls","Psammentic Haploxerolls",250,270,65,95,155,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D17.SJER.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D17.SJER.DP1.00042/",6
D17,SOAP,"Soaproot Saddle NEON","Gradient Terrestrial",,BIGC,"US Forest Service",https://www.fs.usda.gov/sierra/,Yes,37.03337,-119.26219,WGS84,4100967.25,298792.7410,11N,Fresno,CA,US,1210,1044,1373,13.4°C,900,NW,32.0,"Evergreen Forest|Shrub/Scrub",,,,,,,52,"Fine-loamy - mixed - semiactive - mesic Ultic Haploxeralfs","Ultic Haploxeralfs",200,90,155,185,290,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D17.SOAP.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D17.SOAP.DP1.00042/",6
D14,SRER,"Santa Rita Experimental Range NEON","Core Terrestrial",,,"University of Arizona",https://taac.arizona.edu/sites/taac.arizona.edu/files/SRER%20Range%20Use%20Agreement%202014%20revised%5B1%5D.pdf,Yes,31.91068,-110.83549,WGS84,3530547.12,515553.9031,12N,Pima,AZ,US,997,897,1461,19.3°C,346,ESE,2.0,Shrub/Scrub,,,,,,,8,"Coarse-loamy - mixed - calcareous - thermic Typic Torrifluvents","Typic Torrifluvents",247,87,139,189,219|334,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D14.SRER.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D14.SRER.DP1.00042/",4
D05,STEI,"Steigerwaldt-Chequamegon NEON","Gradient Terrestrial",,,"Private|Chequamegon Nicolet National Forest|Steigerwaldt Land Services",https://www.fs.usda.gov/cnnf/|https://steigerwaldt.com/,"Very Limited|Yes",45.50894,-89.58637,WGS84,5042743.85,297968.6864,16N,Lincoln,WI,US,476,466,536,4.8°C,797,WSW,20.0,"Deciduous Forest|Mixed Forest|Woody Wetlands",,,,,,,22,"Coarse-loamy - mixed - superactive - frigid Alfic Epiaquods","Alfic Epiaquods",170,120,165,215,290,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D05.STEI.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D05.STEI.DP1.00042/",6
D10,STER,"North Sterling NEON","Gradient Terrestrial",,,Private,,"Very Limited",40.461894,-103.02929,WGS84,4480891.10,667084.9559,13N,Logan,CO,US,1365,1352,1371,9.7°C,433,NW,,"Cultivated Crops",,,,,,,8,"Fine-silty - mixed - superactive - mesic Pachic Argiustolls","Pachic Argiustolls",180,90,150,190,270,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D10.STER.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D10.STER.DP1.00042/",4
D03,SUGG,"Lake Suggs NEON","Core Aquatic",Lake,OSBS,"University of Florida Foundation",https://ordway-swisher.ufl.edu/ResearchUse.aspx,Yes,29.68778,-82.017745,WGS84,3284541.04,401683.9696,17N,Putnam,FL,US,32,,,20.9°C,1308,,,"Evergreen Forest|Woody Wetlands",,,,39.6,2.1,3.2,,,,,,,,,"A phenocam is pointed toward the land-water interface of the site.
https://phenocam.nau.edu/webcam/sites/NEON.D03.SUGG.DP1.20002/",
D14,SYCA,"Sycamore Creek NEON","Core Aquatic","Wadeable Stream",,"US Forest Service",https://www.fs.usda.gov/tonto/,Limited,33.750993,-111.50809,WGS84,3734447.85,453051.1385,12N,Maricopa,AZ,US,645,,,20.7°C,409,,,Shrub/Scrub,,[h15060203](https://water.usgs.gov/lookup/getwatershed?15060203),"Lower Verde",280.3,,,,,,,,,,,"A phenocam is pointed toward the land-water interface of the site.
https://phenocam.nau.edu/webcam/sites/NEON.D14.SYCA.DP1.20002/",
D08,TALL,"Talladega National Forest NEON","Core Terrestrial",,MAYF,"Talladega National Forest",https://www.fs.usda.gov/detail/alabama/about-forest/districts/?cid=fsbdev3_002555,Yes,32.95047,-87.393259,WGS84,3645863.57,463241.7192,16N,Bibb,AL,US,166,63,179,17.2°C,1383,N,25.0,"Deciduous Forest|Evergreen Forest|Mixed Forest",,,,,,,35,"Fine-loamy - siliceous - subactive - thermic Typic Hapludults","Typic Hapludults",255,75,135,195,330,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D08.TALL.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D08.TALL.DP1.00042/",5
D17,TEAK,"Lower Teakettle NEON","Gradient Terrestrial",,TECR,"US Forest Service",https://www.fs.usda.gov/sierra/,Yes,37.00583,-119.00602,WGS84,4097400.18,321515.7352,11N,Fresno,CA,US,2149,2086,2734,8.0°C,1223,NW,35.0,"Evergreen Forest|Shrub/Scrub",,,,,,,59,"Coarse-loamy - mixed - superactive - frigid Pachic Humixerepts","Pachic Humixerepts",180,120,180,205,300,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D17.TEAK.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D17.TEAK.DP1.00042/",7
D17,TECR,"Teakettle Creek - Watershed 2 NEON","Core Aquatic","Wadeable Stream",TEAK,"US Forest Service",https://www.fs.usda.gov/sierra/,Yes,36.955931,-119.02736,WGS84,319530.63,4091831.3280,11N,Fresno,CA,US,2011,,,8.7°C,1175,,,"Evergreen Forest",,[h18030010](https://water.usgs.gov/lookup/getwatershed?18030010),"Upper King",3.0,,,,,,,,,,,"A phenocam is pointed toward the land-water interface of the site.
https://phenocam.nau.edu/webcam/sites/NEON.D17.TECR.DP1.20002/",
D08,TOMB,"Lower Tombigbee River NEON","Gradient Aquatic","Non-wadeable River",LENO,"US Army Corps of Engineers; Private|Private","https://www.fws.gov/refuge/choctaw/ / NA","Limited / Very Limited",31.853431,-88.158872,WGS84,3524629.25,390152.1672,16N,Choctaw,AL,US,20,,,18.1°C,1386,,,"Mixed Forest",,[h03160201](https://water.usgs.gov/lookup/getwatershed?03160201),"Middle Tombigbee-Chickasaw",47085.3,,,,,,,,,,,"A phenocam is pointed toward the land-water interface of the site.
https://phenocam.nau.edu/webcam/sites/NEON.D08.TOMB.DP1.20002/",
D18,TOOK,"Toolik Lake NEON","Gradient Aquatic",Lake,TOOL,"Bureau of Land Management",https://toolik.alaska.edu/user_guide/permits.php,Yes,68.630692,-149.61064,WGS84,7615309.61,393866.9558,6N,"North Slope",AK,US,715,,,-9.0°C,316,,,"Dwarf Scrub",,[h19060401](https://water.usgs.gov/lookup/getwatershed?19060401),"Kuparuk River",67.6,8.5,27.0,,,,,,,,,,
D18,TOOL,"Toolik Field Station NEON","Core Terrestrial",,TOOK|OKSR,"Bureau of Land Management",https://toolik.alaska.edu/user_guide/permits.php,Yes,68.66109,-149.37047,WGS84,7618427.66,403757.1470,6N,"North Slope",AK,US,832,704,980,-9.0°C,316,S,0.3,"Dwarf Scrub|Shrub/Scrub",,,,,,,9,"Loamy-skeletal - mixed - superactive - acid - pergelic Typic Histoturbels","Typic Histoturbels",80,160,185,205,240,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D18.TOOL.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D18.TOOL.DP1.00042/",4
D05,TREE,"Treehaven NEON","Gradient Terrestrial",,,"University of Wisconsin-Stevens Point",https://www.uwsp.edu/cnr-ap/treehaven/Pages/Research-Form.aspx,Yes,45.49369,-89.58571,WGS84,5041047.89,297965.3164,16N,Lincoln,WI,US,467,447,482,4.8°C,797,WSW,23.0,"Deciduous Forest|Evergreen Forest|Mixed Forest|Woody Wetlands",,,,,,,36,"Coarse-loamy - mixed - superactive - frigid Alfic Haplorthods","Alfic Haplorthods",170,120,165,215,290,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D05.TREE.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D05.TREE.DP1.00042/",6
D06,UKFS,"University of Kansas Field Station NEON","Gradient Terrestrial",,,"University of Kansas",https://biosurvey.ku.edu/research,Yes,39.040431,-95.19215,WGS84,4323549.85,310276.2976,15N,Douglas,KS,US,322,272,332,12.7°C,990,SE,19.0,"Deciduous Forest|Pasture/Hay",,,,,,,35,"Fine - smectitic - mesic Pachic Argiudolls","Pachic Argiudolls",255,75,160,210,330,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D06.UKFS.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D06.UKFS.DP1.00042/",6
D05,UNDE,"University of Notre Dame Environmental Research Center NEON","Core Terrestrial",,,"University of Notre Dame",https://underc.nd.edu/underc-west/research-opportunities/,Yes,46.23391,-89.537254,WGS84,5123162.89,304366.9502,16N,Gogebic,MI,US,521,501,538,4.3°C,802,SSW,24.0,"Deciduous Forest|Mixed Forest|Woody Wetlands",,,,,,,39,"Coarse-loamy - mixed - superactive - frigid Argic Fragiaquods","Argic Fragiaquods",165,120,170,215,285,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D05.UNDE.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D05.UNDE.DP1.00042/",6
D07,WALK,"Walker Branch NEON","Core Aquatic","Wadeable Stream",ORNL,"Department of Energy",https://www.ornl.gov/division/esd,"Very Limited",35.957378,-84.279251,WGS84,3982872.56,745264.0580,16N,Anderson,TN,US,264,,,14.4°C,1340,,,"Deciduous Forest",,[h06010207](https://water.usgs.gov/lookup/getwatershed?06010207),"Lower Clinch",1.1,,,,,,,,,,,"A phenocam is pointed toward the land-water interface of the site.
https://phenocam.nau.edu/webcam/sites/NEON.D07.WALK.DP1.20002/",
D13,WLOU,"West St Louis Creek NEON","Gradient Aquatic","Wadeable Stream",,"US Forest Service",https://www.fs.usda.gov/wps/portal/fsinternet/cs/main/!ut/p/z0/04_Sj9CPykssy0xPLMnMz0vMAfIjo8zijQwgwNHCwN_DI8zPwBcqYKBfkO2oCADIwpjI/?pname=Arapaho/&ss=110210&pnavid=null&navid=091000000000000&ttype=main&cid=null,Yes,39.891366,-105.9154,WGS84,4416100.98,421737.8532,13N,Grand,CO,US,2908,,,1.5°C,655,,,"Evergreen Forest",,[h14010001](https://water.usgs.gov/lookup/getwatershed?14010001),"Colorado headwaters",4.9,,,,,,,,,,,"A phenocam is pointed toward the land-water interface of the site.
https://phenocam.nau.edu/webcam/sites/NEON.D13.WLOU.DP1.20002/",
D09,WOOD,"Chase Lake National Wildlife Refuge NEON","Core Terrestrial",,PRPO,"US Fish and Wildlife Service",https://www.fws.gov/refuge/chase_lake/,Yes,47.1282,-99.241334,WGS84,5219442.04,481694.7212,14N,Stutsman,ND,US,591,569,606,4.9°C,494,NW,1.0,"Emergent Herbaceous Wetlands|Grassland/Herbaceous",,,,,,,8,"Coarse-loamy over sandy or sandy-skeletal - mixed - superactive - frigid Typic Haplustolls","Typic Haplustolls",170,120,180,210,290,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D09.WOOD.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D09.WOOD.DP1.00042/",4
D16,WREF,"Wind River Experimental Forest NEON","Core Terrestrial",,,"Pacific Northwest Research Station; US Forest Service",https://www.fs.usda.gov/pnw/,Yes,45.82049,-121.95191,WGS84,5074636.87,581417.8024,10N,Skamania,WA,US,351,300,1008,9.2°C,2225,NW,50.0,"Evergreen Forest",,,,,,,74,"Medial - amorphic - mesic Typic Hapludands","Typic Hapludands",175,115,165,210,290,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D16.WREF.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D16.WREF.DP1.00042/",8
D12,YELL,"Yellowstone National Park NEON","Core Terrestrial",,BLDE,"National Park Service",https://irma.nps.gov/rprs/,Limited,44.95348,-110.53914,WGS84,4977885.94,536352.1992,12N,Park,WY,US,2133,1847,2244,3.4°C,493,SSE,14.0,"Evergreen Forest|Grassland/Herbaceous|Shrub/Scrub",,,,,,,18,"Fine-loamy - mixed - superactive - frigid Pachic Argiustolls","Pachic Argiustolls",144,125,169,193,269,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D12.YELL.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D12.YELL.DP1.00042/",5
